episode, reward, duration, n_steps, epsilon, success_count, memory length
275, -298.42952180071734, 48.202824115753174, 294, 0.7602278474153183, 1108, 62274
276, -152.21505791600794, 16.14824867248535, 100, 0.759467619567903, 1108, 62373
277, -219.05139568354934, 23.503519535064697, 145, 0.7587081519483351, 1108, 62517
278, -233.62829333753325, 36.528884172439575, 226, 0.7579494437963867, 1108, 62742
279, -223.70280590467155, 24.753212928771973, 153, 0.7571914943525904, 1108, 62894
280, -282.84675130061805, 30.113117933273315, 187, 0.7564343028582378, 1108, 63080
281, -240.30110228061676, 18.30608344078064, 114, 0.7556778685553796, 1108, 63193
282, -116.64270054721419, 9.561662435531616, 60, 0.7549221906868242, 1108, 63252
283, -93.94667615112849, 50.484358072280884, 313, 0.7541672684961374, 1108, 63564
284, -128.58405482862145, 5.808607578277588, 37, 0.7534131012276413, 1108, 63600
285, -146.0737054347992, 4.624258518218994, 29, 0.7526596881264136, 1108, 63628
286, -200.8764837384224, 14.8807954788208, 93, 0.7519070284382872, 1108, 63720
287, -118.36107521597296, 9.765688419342041, 61, 0.7511551214098489, 1108, 63780
288, -279.08099410298746, 45.512495040893555, 280, 0.750403966288439, 1108, 64059
289, 39.41175279393792, 9.40966796875, 58, 0.7496535623221505, 1108, 64116
290, -176.5746951699257, 10.013901710510254, 62, 0.7489039087598284, 1108, 64177
291, -222.07839887402952, 19.161924600601196, 119, 0.7481550048510686, 1108, 64295
292, -226.207829490304, 16.07471752166748, 99, 0.7474068498462175, 1108, 64393
293, -221.20462819596287, 24.824342489242554, 153, 0.7466594429963713, 1108, 64545
294, -156.4797003865242, 9.122901439666748, 56, 0.745912783553375, 1108, 64600
295, -155.78784835338593, 8.544914484024048, 53, 0.7451668707698216, 1108, 64652
296, -23.985316758276895, 24.77165651321411, 152, 0.7444217038990517, 1108, 64803
297, -227.22528209211305, 37.69000840187073, 231, 0.7436772821951526, 1108, 65033
298, -177.31014505401254, 12.780957221984863, 79, 0.7429336049129575, 1108, 65111
299, -148.2114100707695, 17.422524213790894, 108, 0.7421906713080445, 1108, 65218
300, -186.5931596979499, 16.58902072906494, 103, 0.7414484806367364, 1108, 65320
301, -141.10546052455902, 5.442508697509766, 34, 0.7407070321560997, 1108, 65353
302, -196.49136631842703, 20.804448127746582, 127, 0.7399663251239436, 1108, 65479
303, -181.97812908887863, 9.092385530471802, 57, 0.7392263587988196, 1108, 65535
304, -157.53271593898535, 8.4213707447052, 53, 0.7384871324400207, 1108, 65587
305, -164.64857261627913, 12.35043978691101, 77, 0.7377486453075807, 1108, 65663
306, -194.87245824933052, 14.723938941955566, 91, 0.737010896662273, 1108, 65753
307, -181.6946885958314, 10.196940660476685, 63, 0.7362738857656108, 1108, 65815
308, -137.34800820052624, 8.98564100265503, 56, 0.7355376118798452, 1108, 65870
309, 45.241083449916914, 6.459505558013916, 41, 0.7348020742679654, 1108, 65910
310, -184.26185631752014, 7.881970643997192, 49, 0.7340672721936974, 1108, 65958
311, -115.42847600579262, 5.801089763641357, 36, 0.7333332049215037, 1108, 65993
312, 59.75025321915746, 6.337340354919434, 40, 0.7325998717165821, 1108, 66032
313, 56.76155814528465, 1.9787514209747314, 13, 0.7318672718448656, 1108, 66044
314, -105.73464749660343, 2.6751651763916016, 17, 0.7311354045730207, 1108, 66060
315, -155.88021794706583, 10.080307483673096, 62, 0.7304042691684477, 1108, 66121
316, -270.4127018181025, 50.97760057449341, 313, 0.7296738648992792, 1108, 66433
317, -163.10570269823074, 7.413416862487793, 46, 0.7289441910343799, 1108, 66478
318, -266.74485281005036, 36.7686505317688, 227, 0.7282152468433455, 1108, 66704
319, 58.96633778139949, 4.716261386871338, 30, 0.7274870315965022, 1108, 66733
320, -243.8327588941902, 38.30188012123108, 237, 0.7267595445649057, 1108, 66969
322, -174.3964763879776, 8.614939212799072, 54, 0.7253067522353204, 1108, 67022
323, -136.7030520439148, 4.538034677505493, 29, 0.724581445483085, 1108, 67050
324, -141.32474622130394, 6.31817889213562, 39, 0.723856864037602, 1108, 67088
325, -200.84634935110807, 21.953004837036133, 136, 0.7231330071735643, 1108, 67223
326, -170.56787808937952, 17.650761604309082, 110, 0.7224098741663908, 1108, 67332
327, -213.996725100209, 47.5889573097229, 294, 0.7216874642922244, 1108, 67625
328, 40.64924632385373, 11.030791997909546, 69, 0.7209657768279322, 1108, 67693
329, -116.03189724683762, 1.146256446838379, 8, 0.7202448110511043, 1108, 67700
330, -203.43201836943626, 13.767730236053467, 85, 0.7195245662400531, 1108, 67784
331, -199.87456371685403, 36.4812171459198, 225, 0.7188050416738131, 1108, 68008
332, -136.8318231701851, 5.527505874633789, 35, 0.7180862366321393, 1108, 68042
333, -164.65192466974258, 6.912858247756958, 43, 0.7173681503955072, 1108, 68084
334, 56.14071962237358, 2.7932426929473877, 18, 0.7166507822451117, 1108, 68101
335, -374.4595843181014, 76.06288242340088, 468, 0.7159341314628666, 1108, 68568
336, -114.61786584556103, 14.070950269699097, 87, 0.7152181973314037, 1108, 68654
337, -369.3235277358908, 46.491007804870605, 287, 0.7145029791340722, 1108, 68940
338, -168.76918309926987, 9.272970199584961, 58, 0.7137884761549381, 1108, 68997
339, -157.3168706271099, 13.24182677268982, 82, 0.7130746876787832, 1108, 69078
340, 53.293972451239824, 2.135880470275879, 14, 0.7123616129911045, 1108, 69091
