episode, reward, n_steps, epsilon, success_count, memory length
1, -160.74119679583237, 500, 1.0, 0, 499
2, -83.01053048530594, 500, 0.998, 304, 998
3, -370.6842294037342, 500, 0.996004, 304, 1497
4, 103.75256430450827, 500, 0.994011992, 659, 1996
5, -228.12578582385322, 500, 0.992023968016, 659, 2495
6, -479.0059502720833, 500, 0.990039920079968, 659, 2994
7, -486.7712371349335, 500, 0.9880598402398081, 659, 3493
8, -550.084689386189, 488, 0.9860837205593285, 659, 3980
9, -492.2485728263855, 500, 0.9841115531182099, 659, 4479
10, -471.2089427411556, 462, 0.9821433300119734, 659, 4940
11, -179.36259001516737, 500, 0.9801790433519495, 659, 5439
12, -469.34984570741653, 500, 0.9782186852652456, 659, 5938
13, -38.08768772985786, 500, 0.976262247894715, 659, 6437
14, -398.5265171676874, 418, 0.9743097233989256, 659, 6854
15, -46.80015340424143, 500, 0.9723611039521278, 659, 7353
16, -435.8163049724535, 500, 0.9704163817442236, 659, 7852
17, -20.272240191698074, 500, 0.9684755489807352, 659, 8351
18, 185.92842277884483, 355, 0.9665385978827737, 861, 8705
19, -779.7585733830929, 500, 0.9646055206870082, 861, 9204
20, -538.7691700160503, 500, 0.9626763096456342, 861, 9703
21, -30.086436396464705, 279, 0.9607509570263429, 861, 9981
22, 1.678266005590558, 436, 0.9588294551122902, 1099, 10416
23, -231.54071597044822, 500, 0.9569117962020657, 1099, 10915
25, -359.79906891845167, 432, 0.9530879766644422, 1099, 11346
26, -197.22146908938885, 500, 0.9511818007111134, 1099, 11845
27, -509.6629304289818, 500, 0.9492794371096911, 1099, 12344
28, -348.71771160699427, 500, 0.9473808782354717, 1099, 12843
29, -374.8616175353527, 500, 0.9454861164790007, 1099, 13342
30, -690.9005393981934, 500, 0.9435951442460427, 1099, 13841
31, -223.64060029387474, 348, 0.9417079539575507, 1099, 14188
32, -339.5107608665712, 500, 0.9398245380496356, 1099, 14687
33, -49.82408195361495, 75, 0.9379448889735363, 1099, 14761
34, -119.7687620818615, 111, 0.9360689991955893, 1099, 14871
35, -44.78136205673218, 59, 0.9341968611971981, 1099, 14929
36, -49.44919413328171, 45, 0.9323284674748037, 1099, 14973
37, 23.891758582598413, 62, 0.930463810539854, 1099, 15034
38, -10.240030005574226, 31, 0.9286028829187744, 1099, 15064
39, 11.080013127066195, 172, 0.9267456771529368, 1099, 15235
40, -7.224135398864746, 6, 0.9248921857986309, 1099, 15240
41, -87.04178093513474, 102, 0.9230424014270336, 1099, 15341
42, -63.25995906442404, 66, 0.9211963166241796, 1099, 15406
43, 15.097852091304958, 55, 0.9193539239909312, 1099, 15460
44, -29.323428068542853, 153, 0.9175152161429493, 1099, 15612
45, -169.6589092100039, 240, 0.9156801857106633, 1099, 15851
46, -109.39962889999151, 139, 0.913848825339242, 1099, 15989
47, -21.321136366575956, 84, 0.9120211276885636, 1099, 16072
