episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss, stacking_duration
1, -2673.27795958519, 3, 7.071342814015225, 125, 177, 25177, 9.810558319091797, 25.537424087524414, 1.4080852270126343e-07
2, -3510.751720190048, 2, 15.690041700028814, 288, 465, 25465, 9.537413597106934, 25.789146423339844, 5.989932105876505e-08
3, -2558.577220916748, 3, 6.337204713956453, 119, 584, 25584, 10.334278106689453, 25.740375518798828, 1.4026872344127221e-07
4, -2637.3613035678864, 3, 9.928120739059523, 180, 764, 25764, 9.54854965209961, 26.30418586730957, 9.545021586947971e-08
5, -3634.681051015854, 2, 13.13580470404122, 239, 1003, 26003, 10.187454223632812, 26.492481231689453, 7.597926349445367e-08
6, -3385.5962504148483, 2, 14.139830747968517, 261, 1264, 26264, 10.327733039855957, 26.706851959228516, 7.519136286444134e-08
7, -2412.350401997566, 3, 6.720430469955318, 120, 1384, 26384, 9.68805980682373, 27.602933883666992, 1.7460066980371873e-07
8, -2670.551617860794, 3, 9.748619453981519, 177, 1561, 26561, 9.789456367492676, 27.066448211669922, 9.47009045946396e-08
9, -3106.492851257324, 2, 12.368250863044523, 231, 1792, 26792, 9.893404960632324, 27.611074447631836, 8.254098298745754e-08
10, -2616.4722571372986, 3, 6.499666110961698, 115, 1907, 26907, 10.421348571777344, 28.725910186767578, 1.4576514292022456e-07
11, -2656.5328602790833, 3, 9.343319845036604, 173, 2080, 27080, 10.630711555480957, 27.23846435546875, 1.0980925700395782e-07
12, -3567.6784937381744, 2, 18.347791672917083, 341, 2421, 27421, 10.343077659606934, 27.967008590698242, 4.567440784921394e-08
13, -3403.450691461563, 2, 14.560913186054677, 263, 2684, 27684, 10.063947677612305, 28.381052017211914, 6.479464343858762e-08
14, -3331.2693984508514, 2, 15.341149499057792, 282, 2966, 27966, 10.592484474182129, 29.32476234436035, 6.092525688363306e-08
15, -3871.916217446327, 2, 22.779046031995676, 421, 3387, 28387, 10.107454299926758, 29.421892166137695, 3.948221491946177e-08
16, -3190.4708018302917, 2, 19.955454439972527, 364, 3751, 28751, 9.875082969665527, 29.468664169311523, 4.681846853550319e-08
17, -2985.2852795124054, 2, 12.335720330942422, 228, 3979, 28979, 10.932047843933105, 30.405611038208008, 9.220604082210023e-08
18, -3026.3967064619064, 2, 12.753907675971277, 238, 4217, 29217, 10.403974533081055, 30.880300521850586, 7.072279714987058e-08
19, 2317.4667440652847, 1, 7.320110415923409, 134, 4351, 29351, 10.249527931213379, 30.620397567749023, 1.235305567953124e-07
20, -2544.101408958435, 3, 2.7294408509042114, 49, 4400, 29400, 10.651371002197266, 30.673629760742188, 4.945916826931798e-07
21, 2274.2616677880287, 1, 8.120402754982933, 148, 4548, 29548, 10.534658432006836, 30.19325065612793, 1.2506073265260942e-07
22, -3553.639616727829, 2, 13.354819499072619, 247, 4795, 29795, 9.90183162689209, 30.574445724487305, 6.927937073142904e-08
23, -452.3989408016205, 1, 45.42351514706388, 836, 5631, 30631, 10.541497230529785, 31.444791793823242, 3.709443332404611e-08
24, -5040.1584849357605, 2, 43.24159335694276, 805, 6436, 31436, 10.11529541015625, 32.0312614440918, 4.060508579200839e-08
25, -3266.3283154964447, 2, 13.537042745039798, 245, 6681, 31681, 9.75963020324707, 31.282934188842773, 9.151004558923293e-08
26, -2711.2464500665665, 3, 9.327713211998343, 169, 6850, 31850, 10.027639389038086, 32.80171585083008, 9.463945701277468e-08
27, -3091.2983889579773, 2, 14.559051236021332, 269, 7119, 32119, 10.276191711425781, 32.285888671875, 6.750530691395018e-08
