episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1901, 2253.4891421198845, 1, 24, 82, 174240, 199240, 44.25292205810547, 88.92308044433594
1902, -2489.3947020173073, 2, -24, 123, 174363, 199363, 44.750083923339844, 89.97723388671875
1903, -2446.5377737879753, 2, 0, 120, 174483, 199483, 45.423641204833984, 89.77214813232422
1904, 2427.077142059803, 1, 8, 33, 174516, 199516, 44.73530578613281, 89.84082794189453
1905, 2352.3411635160446, 1, 17, 77, 174593, 199593, 46.57662582397461, 90.06269073486328
1906, -2616.990715444088, 2, -25, 135, 174728, 199728, 43.267887115478516, 90.55584716796875
1907, -706.514087498188, 4, 0, 217, 174945, 199945, 47.24038314819336, 90.43628692626953
1908, 2366.3361809253693, 1, 17, 73, 175018, 200018, 45.56880187988281, 90.02938079833984
1909, 2012.0389956831932, 1, 37, 149, 175167, 200167, 44.6802864074707, 90.46450805664062
1910, 2228.698541164398, 1, 30, 116, 175283, 200283, 47.09048843383789, 90.58189392089844
1911, -610.1768765747547, 4, -84, 206, 175489, 200489, 44.906192779541016, 90.685791015625
1912, -689.0362822413445, 4, 0, 201, 175690, 200690, 47.10177993774414, 90.3978042602539
1913, 2487.681819140911, 1, 4, 16, 175706, 200706, 44.805816650390625, 91.7320556640625
1914, 2220.821445941925, 1, 33, 137, 175843, 200843, 46.53300857543945, 90.2043228149414
1915, -2255.505735516548, 2, -37, 23, 175866, 200866, 46.507442474365234, 90.62837219238281
1916, 2465.35913169384, 1, 5, 22, 175888, 200888, 48.955482482910156, 89.89105224609375
1917, 2420.626875758171, 1, 10, 41, 175929, 200929, 43.405967712402344, 89.62003326416016
1918, -529.0756295025349, 4, -15, 199, 176128, 201128, 46.06916427612305, 90.52985382080078
1919, -2188.9777844548225, 2, 0, 60, 176188, 201188, 44.51960372924805, 90.32067108154297
1920, 2068.29940995574, 1, 39, 160, 176348, 201348, 45.86798858642578, 90.66937255859375
1921, 2340.1300286650658, 1, 22, 86, 176434, 201434, 44.67407989501953, 90.3448486328125
1922, 2042.720830321312, 1, 46, 179, 176613, 201613, 44.02638244628906, 90.73677825927734
1923, -2252.945688724518, 2, -107, 16, 176629, 201629, 49.41291046142578, 89.9063949584961
1924, 2432.5135194063187, 1, 7, 33, 176662, 201662, 45.12019348144531, 90.04885864257812
1925, -579.1760537624359, 4, 50, 211, 176873, 201873, 45.898345947265625, 90.6028823852539
1926, 2432.386153101921, 1, -50, 29, 176902, 201902, 41.497352600097656, 90.94740295410156
1927, 2221.2416526675224, 1, 11, 53, 176955, 201955, 45.55768966674805, 91.02493286132812
1928, 2181.030815422535, 1, 31, 128, 177083, 202083, 45.52116775512695, 90.47981262207031
1929, -2282.6122645139694, 2, -49, 80, 177163, 202163, 43.97529220581055, 90.4767837524414
1930, 2426.694631576538, 1, 7, 31, 177194, 202194, 44.87679672241211, 91.0647964477539
1931, 2283.6796426177025, 1, 20, 92, 177286, 202286, 45.068702697753906, 91.09123229980469
1932, 2322.5219334363937, 1, 26, 106, 177392, 202392, 46.485416412353516, 91.35521697998047
1933, 2353.622325658798, 1, 24, 88, 177480, 202480, 45.76850509643555, 91.25501251220703
1934, -2351.7209818959236, 2, 17, 70, 177550, 202550, 41.60871124267578, 90.67083740234375
1935, 2249.743194103241, 1, -83, 53, 177603, 202603, 46.742454528808594, 90.64593505859375
1936, -637.7617064714432, 5, -11, 114, 177717, 202717, 45.746158599853516, 91.32952117919922
1937, 2043.5086777806282, 1, 41, 181, 177898, 202898, 47.031131744384766, 90.84103393554688
1938, 2252.107031196356, 1, 28, 119, 178017, 203017, 43.35125732421875, 91.04208374023438
1939, 2232.760862290859, 1, 17, 65, 178082, 203082, 44.87659454345703, 90.90336608886719
1940, -2687.4689395427704, 2, -86, 191, 178273, 203273, 44.60786819458008, 91.22370147705078
1941, 2373.017268180847, 1, 13, 60, 178333, 203333, 46.691688537597656, 92.03992462158203
1942, 2230.9324323534966, 1, 27, 104, 178437, 203437, 46.710166931152344, 91.20606231689453
1943, 2314.876320719719, 1, 23, 83, 178520, 203520, 45.2184944152832, 91.23321533203125
1944, 2379.7706137895584, 1, 14, 54, 178574, 203574, 43.733463287353516, 91.10029602050781
1945, -672.7910619974136, 4, -77, 209, 178783, 203783, 45.58710479736328, 91.1323013305664
1946, 2052.638886153698, 1, 28, 125, 178908, 203908, 46.59577178955078, 91.27593994140625
1947, 2432.151694059372, 1, 12, 46, 178954, 203954, 43.30546188354492, 90.8931655883789
1948, 2391.049218416214, 1, 11, 46, 179000, 204000, 45.970088958740234, 91.3527603149414
1949, -301.3343948125839, 5, -51, 95, 179095, 204095, 43.750728607177734, 91.04261779785156
1950, 1948.2142289280891, 1, 49, 223, 179318, 204318, 46.40996170043945, 91.09651184082031
1951, 2360.5447596609592, 1, 22, 84, 179402, 204402, 43.87590789794922, 91.47452545166016
1952, 2228.5163381397724, 1, 28, 113, 179515, 204515, 45.78709030151367, 91.42912292480469
1953, 2038.02125826478, 1, 25, 103, 179618, 204618, 44.65606689453125, 91.83674621582031
1954, 2288.6522258520126, 1, 18, 71, 179689, 204689, 44.9459228515625, 91.48113250732422
1955, 2204.934429049492, 1, 28, 117, 179806, 204806, 44.808876037597656, 91.15104675292969
1956, 2361.5153047442436, 1, 12, 60, 179866, 204866, 45.67301559448242, 91.48788452148438
1957, 2404.8446509838104, 1, 12, 48, 179914, 204914, 48.7078857421875, 92.11414337158203
1958, 2388.909283578396, 1, 10, 49, 179963, 204963, 45.9257926940918, 92.32850646972656
1959, -717.1964402198792, 4, -205, 209, 180172, 205172, 45.103721618652344, 91.44676971435547
1960, -2718.9666217565536, 2, 0, 215, 180387, 205387, 45.278541564941406, 91.87706756591797
1961, 2331.547533750534, 1, 14, 62, 180449, 205449, 43.89748764038086, 91.8671875
1962, 2090.131213992834, 1, 34, 140, 180589, 205589, 45.495235443115234, 92.09874725341797
1963, 2351.170347958803, 1, 14, 56, 180645, 205645, 45.815792083740234, 91.76741027832031
1964, 2298.338648110628, 1, 20, 95, 180740, 205740, 46.052879333496094, 91.6613998413086
1965, -503.0693902373314, 4, -82, 206, 180946, 205946, 45.93291091918945, 91.55335998535156
1966, 2113.879117369652, 1, 37, 157, 181103, 206103, 46.922447204589844, 91.89942932128906
1967, -628.8524353504181, 4, 50, 219, 181322, 206322, 44.80189895629883, 92.09627532958984
1968, 2437.5647492408752, 1, 11, 43, 181365, 206365, 43.0645866394043, 91.969970703125
1969, -518.7568424344063, 4, -11, 220, 181585, 206585, 46.84812545776367, 92.02351379394531
1970, 2453.600142657757, 1, 9, 42, 181627, 206627, 44.7591552734375, 90.68144226074219
1971, 2408.320741355419, 1, 12, 52, 181679, 206679, 46.569236755371094, 91.21204376220703
1972, 2444.3693604767323, 1, 10, 38, 181717, 206717, 45.11103439331055, 91.35198974609375
1973, 1655.2227428555489, 1, 47, 188, 181905, 206905, 45.1602668762207, 92.00961303710938
1974, 2412.222822546959, 1, 9, 42, 181947, 206947, 48.447669982910156, 92.15338134765625
1975, -499.7944394350052, 4, -87, 208, 182155, 207155, 45.997581481933594, 92.03434753417969
1976, 2405.0695047974586, 1, 11, 41, 182196, 207196, 43.04350662231445, 91.86115264892578
1977, 2285.6658104360104, 1, 18, 78, 182274, 207274, 44.83304977416992, 92.7486343383789
1978, 2083.8838443756104, 1, 22, 90, 182364, 207364, 46.99740219116211, 92.01204681396484
1979, 2396.726770937443, 1, 16, 71, 182435, 207435, 45.53615188598633, 92.01107788085938
1980, 2130.1147402226925, 1, 15, 69, 182504, 207504, 44.79751205444336, 92.25224304199219
1981, -479.21373426914215, 4, 50, 204, 182708, 207708, 44.270015716552734, 91.80531311035156
1982, 2435.0599897503853, 1, -125, 32, 182740, 207740, 44.5461540222168, 91.6402816772461
1983, 2298.341599524021, 1, 23, 90, 182830, 207830, 44.52407455444336, 91.87777709960938
1984, 2158.033240556717, 1, 20, 83, 182913, 207913, 44.97341537475586, 92.12316131591797
1985, 2357.3969855308533, 1, 20, 76, 182989, 207989, 49.077415466308594, 91.72738647460938
1986, 2262.154877781868, 1, 29, 119, 183108, 208108, 45.71377182006836, 92.18206024169922
1987, 2215.5236862301826, 1, 35, 139, 183247, 208247, 44.315391540527344, 92.66131591796875
1988, 2341.6941406726837, 1, 25, 98, 183345, 208345, 47.61608123779297, 92.50189971923828
1989, 2233.897991001606, 1, 27, 110, 183455, 208455, 45.94658660888672, 91.8990478515625
1990, -669.8230818510056, 4, 50, 226, 183681, 208681, 44.577999114990234, 92.60285949707031
1991, 2443.6915575265884, 1, -230, 25, 183706, 208706, 41.69906234741211, 91.04023742675781
1992, -579.0467101931572, 4, -6, 206, 183912, 208912, 47.18070983886719, 92.6258316040039
1993, -585.79921489954, 4, 0, 207, 184119, 209119, 44.754032135009766, 92.56603240966797
1994, -584.2842280864716, 4, 0, 200, 184319, 209319, 45.88300704956055, 92.25363159179688
1995, 2459.5232991576195, 1, 8, 34, 184353, 209353, 47.40989303588867, 93.20636749267578
1996, 2201.36347669363, 1, 34, 126, 184479, 209479, 45.453670501708984, 92.78461456298828
1997, -100.97637009620667, 5, -42, 41, 184520, 209520, 45.889869689941406, 93.06004333496094
1998, 2425.7794548869133, 1, 12, 48, 184568, 209568, 47.91005325317383, 92.5533218383789
1999, -142.22594678401947, 5, -12, 93, 184661, 209661, 46.7697868347168, 92.69182586669922
2000, -121.27794498205185, 5, 0, 72, 184733, 209733, 44.097415924072266, 93.61920928955078
2001, 2421.786124944687, 1, 12, 48, 184781, 209781, 45.738922119140625, 93.1631088256836
2002, -76.10547041893005, 5, -12, 27, 184808, 209808, 47.22102355957031, 93.47116088867188
2003, 2422.3874945044518, 1, 9, 41, 184849, 209849, 45.142948150634766, 91.89055633544922
2004, 2352.9085387289524, 1, 21, 94, 184943, 209943, 46.29621887207031, 92.81414031982422
2005, -75.46240437030792, 5, -30, 32, 184975, 209975, 44.525421142578125, 92.44116973876953
2006, -66.43311899900436, 5, 0, 45, 185020, 210020, 45.7043342590332, 92.44477081298828
2007, 2385.739478111267, 1, 17, 72, 185092, 210092, 44.8748664855957, 92.74742889404297
2008, -133.87188625335693, 5, -17, 56, 185148, 210148, 42.93510055541992, 92.37274932861328
2009, -153.13036853075027, 5, 0, 61, 185209, 210209, 46.07878494262695, 92.86510467529297
2010, 2429.610087990761, 1, 11, 45, 185254, 210254, 49.45011520385742, 93.10237884521484
2011, -40.908052921295166, 5, -11, 16, 185270, 210270, 45.38672637939453, 92.01189422607422
2012, 2437.822771370411, 1, 10, 39, 185309, 210309, 47.00597381591797, 92.34575653076172
2013, -64.97699844837189, 5, -10, 22, 185331, 210331, 44.910736083984375, 93.3067398071289
2014, -41.48479861021042, 5, 0, 30, 185361, 210361, 43.89939880371094, 92.22032165527344
2015, -64.49568539857864, 5, 0, 43, 185404, 210404, 46.0419807434082, 93.01138305664062
