episode, reward, success, duration, n_steps, epsilon, success_count, memory length, avg_critic_loss, avg_actor_loss
1351, 7966.623628616333, True, 0.017345428466796875, 4, 0, 0, 3, 0.0, 0.0
1352, 7035.342529952526, True, 9.794255018234253, 265, 0, 0, 267, 24.641983032226562, 8711.5166015625
1353, 6333.315914928913, True, 23.16728186607361, 381, 0, 0, 647, 42.96074676513672, 14129.9619140625
1354, -8789.114805161953, False, 21.449302196502686, 344, 0, 0, 990, 33.061195373535156, 14114.392578125
1355, -9057.711866676807, False, 25.972843408584595, 438, 0, 0, 1427, 29.816574096679688, 16489.66796875
1356, 6688.220874130726, True, 21.23154044151306, 337, 0, 0, 1763, 27.884166717529297, 18259.3515625
1357, -10008.088325113058, False, 27.331178903579712, 431, 0, 0, 2193, 25.94062042236328, 18272.70703125
1358, 7743.052019000053, True, 9.015695571899414, 124, 0, 0, 2316, 42.16776657104492, 25574.498046875
1359, 7742.297474652529, True, 8.509653091430664, 128, 0, 0, 2443, 43.30866241455078, 21443.38671875
1360, -7539.647927641869, False, 7.980420827865601, 134, 0, 0, 2576, 41.16611862182617, 21103.58984375
1361, 7098.257880270481, True, 15.242148399353027, 251, 0, 0, 2826, 38.9638671875, 19173.068359375
1362, 4610.607332706451, True, 73.47960424423218, 1154, 0, 0, 3979, 33.082122802734375, 16682.14453125
1363, -7259.277471542358, False, 2.2130393981933594, 36, 0, 0, 4014, 26.07115364074707, 16415.1953125
1364, -7330.7937007546425, False, 5.111611366271973, 81, 0, 0, 4094, 29.731430053710938, 17188.33984375
1365, 7614.973804295063, True, 10.477920770645142, 163, 0, 0, 4256, 31.254636764526367, 16221.01953125
1366, -7765.089243173599, False, 3.0125832557678223, 53, 0, 0, 4308, 34.01694107055664, 15303.06640625
1367, 6561.031282693148, True, 21.395650148391724, 359, 0, 0, 4666, 36.92546463012695, 15983.1396484375
1368, -7687.159510910511, False, 19.205925226211548, 303, 0, 0, 4968, 31.184022903442383, 14938.205078125
1369, 7681.358460187912, True, 9.829370737075806, 167, 0, 0, 5134, 38.562313079833984, 14895.8427734375
1370, -8147.599939107895, False, 12.267958879470825, 185, 0, 0, 5318, 36.38019561767578, 14279.3447265625
1371, -8337.877669870853, False, 11.094363927841187, 184, 0, 0, 5501, 36.811920166015625, 14244.5029296875
1372, -7463.404562652111, False, 8.408268213272095, 144, 0, 0, 5644, 33.780338287353516, 14957.51953125
1373, -7993.625393033028, False, 18.530920267105103, 294, 0, 0, 5937, 33.64491271972656, 15246.45703125
1374, -7704.293599426746, False, 6.678716659545898, 103, 0, 0, 6039, 39.95877456665039, 15628.66015625
1375, 7635.518453478813, True, 7.725423336029053, 116, 0, 0, 6154, 38.00443649291992, 15563.720703125
1376, 6515.335157632828, True, 34.17041635513306, 564, 0, 0, 6717, 35.17913818359375, 16131.82421875
1377, -18223.962831258774, False, 47.9145724773407, 768, 0, 0, 7484, 36.526363372802734, 16395.921875
1378, 7218.723875641823, True, 11.323364496231079, 169, 0, 0, 7652, 38.332515716552734, 20930.08203125
1379, 6431.083690136671, True, 19.730309009552002, 327, 0, 0, 7978, 36.80891799926758, 20292.939453125
1380, -8545.755635023117, False, 24.618534326553345, 392, 0, 0, 8369, 37.25366973876953, 19655.728515625
1381, 7592.066175073385, True, 11.111205577850342, 176, 0, 0, 8544, 34.21946716308594, 19301.189453125
1382, 7278.265797257423, True, 18.87990093231201, 299, 0, 0, 8842, 37.04051208496094, 19235.923828125
1383, 7448.211272120476, True, 10.598798751831055, 163, 0, 0, 9004, 32.87648010253906, 17649.431640625
1384, -7351.650730013847, False, 3.00976300239563, 45, 0, 0, 9048, 31.704975128173828, 17117.470703125
1385, 7863.993952900171, True, 4.37985634803772, 66, 0, 0, 9113, 43.40444564819336, 17059.716796875
1386, -8608.808493614197, False, 5.964127779006958, 97, 0, 0, 9209, 37.40003967285156, 17078.1640625
1387, -7320.673569023609, False, 4.944659233093262, 85, 0, 0, 9293, 44.27714157104492, 17363.732421875
1388, 7555.616970658302, True, 10.144259214401245, 177, 0, 0, 9469, 39.89072799682617, 17557.263671875
1389, 6883.903115510941, True, 23.92552423477173, 405, 0, 0, 9873, 41.948448181152344, 17153.541015625
1390, -7698.239598870277, False, 9.919146299362183, 158, 0, 0, 10030, 40.99598693847656, 15136.83984375
1391, 7191.663826823235, True, 11.264617443084717, 169, 0, 0, 10198, 36.74236297607422, 15429.5625
1392, -7706.567634344101, False, 8.091182470321655, 130, 0, 0, 10327, 40.0438232421875, 15750.095703125
1393, -9762.594724178314, False, 14.507882833480835, 251, 0, 0, 10577, 36.87105941772461, 15651.6279296875
1394, 6353.436894476414, True, 22.4028377532959, 363, 0, 0, 10939, 39.67949295043945, 15648.71484375
1395, -7922.434098631144, False, 20.924612760543823, 346, 0, 0, 11284, 41.19758605957031, 15825.1259765625
1396, 7784.354854613543, True, 10.01368522644043, 152, 0, 0, 11435, 35.37934494018555, 15604.0966796875
