episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss, stacking_duration
1, -4602.866348624229, 3, 38.57888985099271, 715, 861, 25861, 8.981569290161133, 27.229944229125977, 2.3443277899201934e-08
2, -2540.4566597938538, 3, 6.234433850971982, 109, 970, 25970, 8.742876052856445, 27.53168296813965, 1.717147357556798e-07
3, -2798.033258676529, 3, 9.549989597988315, 175, 1145, 26145, 8.551186561584473, 28.259944915771484, 9.777756141764777e-08
4, -3082.011768579483, 2, 13.938534857938066, 255, 1400, 26400, 8.834851264953613, 28.266098022460938, 1.0654101988264158e-07
5, -2685.3992421627045, 2, 11.934044625959359, 218, 1618, 26618, 8.858920097351074, 28.11181640625, 8.970174357431744e-08
6, -2575.729635000229, 3, 6.517393722082488, 114, 1732, 26732, 8.48294734954834, 27.935562133789062, 1.929829044169501e-07
7, -3452.4779529571533, 2, 15.96790438296739, 300, 2032, 27032, 8.649561882019043, 28.706708908081055, 5.797017365694046e-08
8, -2838.759269952774, 3, 9.124888238031417, 165, 2197, 27197, 9.038493156433105, 28.81501579284668, 1.0963007243293705e-07
9, -4692.013418972492, 2, 25.99022064602468, 481, 2678, 27678, 8.630782127380371, 29.44198226928711, 6.592084156066613e-08
10, -3083.487471103668, 2, 12.130999658023939, 221, 2899, 27899, 9.134223937988281, 30.35540199279785, 9.859745639346844e-08
11, -2527.236969470978, 3, 6.743278321926482, 124, 3023, 28023, 9.006670951843262, 31.104515075683594, 1.391210037493898e-07
12, -2676.1190509796143, 3, 6.7181472410447896, 119, 3142, 28142, 8.850935935974121, 30.670503616333008, 1.596386677452496e-07
13, -2782.6797387599945, 3, 9.162480877013877, 171, 3313, 28313, 9.201672554016113, 30.96404457092285, 1.0823357131397515e-07
14, -3242.852791070938, 2, 11.919988858979195, 217, 3530, 28530, 8.794708251953125, 30.81036376953125, 8.046551938018492e-08
15, -2382.04549908638, 3, 6.364205642952584, 118, 3648, 28648, 9.50558853149414, 31.235227584838867, 1.4915269152340241e-07
16, -5543.985029101372, 4, 50.408160162041895, 924, 4572, 29572, 9.237099647521973, 32.918678283691406, 1.8140631707715782e-08
17, -2909.450147151947, 3, 11.735986875952221, 212, 4784, 29784, 9.272401809692383, 34.570072174072266, 8.038203407711577e-08
18, -3890.227880001068, 2, 17.176792434998788, 315, 5099, 30099, 9.391740798950195, 34.46452713012695, 6.319023668766021e-08
