episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss, stacking_duration
5901, 2194.979084998369, 1, 8.239138623000144, 209, 504, 100504, 62.734188079833984, 438.0076599121094, 7.751674692672298e-08
5902, -3202.4685521125793, 3, 6.731674735000524, 169, 673, 100673, 57.6356201171875, 443.47845458984375, 1.3297633237801987e-07
5903, -5955.572188735008, 4, 49.983869357, 1284, 1957, 101957, 50.41236877441406, 444.68798828125, 1.432632441753761e-08
5904, -2691.6289193332195, 3, 7.928722869000012, 201, 2158, 102158, 45.425716400146484, 446.81585693359375, 1.0636815648069559e-07
5905, -3211.673595428467, 3, 7.7126175549992695, 192, 2350, 102350, 44.36210632324219, 445.6045837402344, 8.08281252299518e-08
5906, -6029.100976228714, 2, 29.559563808999883, 754, 3104, 103104, 42.2137565612793, 447.1863098144531, 2.6070291696138562e-08
5907, -3826.6006865501404, 3, 18.55804126900057, 458, 3562, 103562, 40.12596130371094, 446.5836486816406, 4.073144022162341e-08
5908, -5041.3776651620865, 4, 50.179771205999714, 1263, 4825, 104825, 37.219913482666016, 447.8525390625, 1.2533649990841325e-08
5909, 1889.5683752298355, 1, 9.719073354999637, 237, 5062, 105062, 35.075279235839844, 448.43585205078125, 7.410548631183386e-08
5910, -5463.69742333889, 3, 19.759875875000034, 488, 5550, 105550, 34.33039855957031, 448.9727783203125, 4.011680302341358e-08
5911, -3396.7147928476334, 3, 11.335837958999946, 282, 5832, 105832, 33.761505126953125, 449.8994140625, 5.801773132840568e-08
5912, 2036.047622680664, 1, 9.716616875, 238, 6070, 106070, 33.06892776489258, 452.51495361328125, 9.888235428600431e-08
5913, 2273.7326850891113, 1, 8.337608101999649, 208, 6278, 106278, 33.171531677246094, 451.3361511230469, 7.562019058800965e-08
5914, -3292.7322914600372, 2, 8.313282740999966, 202, 6480, 106480, 32.78390121459961, 450.10406494140625, 9.190593892967762e-08
5915, 2228.2951530218124, 1, 7.713983736000046, 184, 6664, 106664, 31.86078643798828, 452.13897705078125, 9.746738867207845e-08
5916, -3193.0700290203094, 3, 16.92556704799972, 413, 7077, 107077, 31.418563842773438, 450.80316162109375, 4.51452777899698e-08
5917, -3107.084519147873, 3, 9.332378086000062, 231, 7308, 107308, 30.65580177307129, 450.9765319824219, 7.663636227204864e-08
5918, -3309.9637755155563, 3, 17.34983756099973, 419, 7727, 107727, 30.613676071166992, 451.06640625, 3.864200528267091e-08
5919, -4408.426148891449, 2, 21.95537568399959, 540, 8267, 108267, 29.98904800415039, 452.8968505859375, 3.104074090111276e-08
5920, 2359.3863683640957, 1, 3.910408843999903, 92, 8359, 108359, 29.544605255126953, 449.7920227050781, 2.0615216864984098e-07
5921, -3438.5439106225967, 3, 19.12886441200044, 467, 8826, 108826, 29.214847564697266, 452.44097900390625, 3.788651113510052e-08
5922, 2348.5394246280193, 1, 4.728671098999257, 114, 8940, 108940, 28.819053649902344, 453.4151306152344, 1.525614016715911e-07
5923, 2193.9527735114098, 1, 9.313681429999633, 226, 9166, 109166, 28.406158447265625, 453.4169921875, 1.2971239192287676e-07
5924, -3139.771467268467, 3, 14.123058559999663, 343, 9509, 109509, 28.627370834350586, 452.49951171875, 4.685131232892285e-08
5925, 1781.4932441413403, 1, 14.749410215000353, 363, 9872, 109872, 28.292753219604492, 452.9488525390625, 4.8052340787777694e-08
5926, -5333.2433252334595, 2, 25.94000687500011, 632, 10504, 110504, 27.752605438232422, 453.570556640625, 2.5761076220170494e-08
5927, 1823.4335268437862, 1, 14.923577059000309, 360, 10864, 110864, 27.37165069580078, 453.5596008300781, 5.103888724988792e-08
5928, 2070.5622099637985, 1, 11.140475185000469, 272, 11136, 111136, 27.099613189697266, 454.0821533203125, 7.355882470459192e-08
5929, -2712.995384454727, 2, 7.3134133069997915, 175, 11311, 111311, 26.499446868896484, 451.7353210449219, 9.881713984733713e-08
5930, -2994.6304002404213, 2, 12.339173553000364, 297, 11608, 111608, 26.96528434753418, 455.1431884765625, 6.682491497828873e-08
5931, -5817.875624477863, 2, 46.77492636700026, 1132, 12740, 112740, 26.418567657470703, 453.78558349609375, 2.1373675044999514e-08
5932, -4055.5941079854965, 3, 33.560517291, 809, 13549, 113549, 26.244203567504883, 454.1552429199219, 3.399505586357907e-08
5933, 1782.7088242769241, 1, 12.121202711000478, 287, 13836, 113836, 25.56502914428711, 454.2223205566406, 6.870034917720953e-08
5934, -3593.019098997116, 2, 9.113009529999545, 214, 14050, 114050, 25.315692901611328, 453.89935302734375, 7.696728962995808e-08
5935, -3487.9835261702538, 3, 17.3541662990001, 414, 14464, 114464, 25.435985565185547, 454.5500183105469, 4.196135266200338e-08
