episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss, stacking_duration
83, -3658.8374848365784, 2, 15.740346011996735, 355, 19732, 44732, 12.06093978881836, 42.981895446777344, 6.197181097428564e-08
84, -2400.698932170868, 3, 6.139445970999077, 140, 19872, 44872, 12.035408020019531, 42.532649993896484, 1.6412855724671058e-07
85, -4787.666527748108, 2, 14.942494992981665, 339, 20211, 45211, 12.390031814575195, 43.630653381347656, 5.480242689802232e-08
86, -2915.350959777832, 3, 9.528715703985654, 212, 20423, 45423, 11.804004669189453, 44.325191497802734, 8.96084974607769e-08
87, 2372.3808377981186, 1, 4.335354971000925, 100, 20523, 45523, 12.522869110107422, 44.98081970214844, 3.1848030630499123e-07
88, -2591.751934528351, 3, 5.310784757952206, 105, 20628, 45628, 12.255483627319336, 44.19365310668945, 2.594193488004662e-07
89, -2569.19810461998, 3, 5.938635890954174, 128, 20756, 45756, 12.39626693725586, 44.86376190185547, 1.5823479770915583e-07
90, -2681.6278116703033, 3, 6.920133567997254, 147, 20903, 45903, 12.174222946166992, 45.14667892456055, 1.3873499000863153e-07
91, -2632.1276614665985, 3, 6.519843709014822, 138, 21041, 46041, 12.518115043640137, 44.744686126708984, 1.6194931906310545e-07
92, 2424.1133974790573, 1, 2.9108420130214654, 60, 21101, 46101, 11.47332763671875, 44.214176177978516, 4.84233411649863e-07
93, -4113.971673965454, 2, 17.54967379500158, 383, 21484, 46484, 12.334495544433594, 45.35092544555664, 5.470486673922825e-08
94, -2682.8790814876556, 3, 6.137457496020943, 136, 21620, 46620, 12.715975761413574, 46.01768493652344, 1.345440122189329e-07
95, -3724.0090938806534, 2, 13.534229779965244, 290, 21910, 46910, 12.19736385345459, 46.301307678222656, 9.416554380079795e-08
96, -3799.37180018425, 2, 16.96954297402408, 371, 22281, 47281, 12.509953498840332, 46.74703598022461, 7.342041352126156e-08
97, -2960.1814110279083, 3, 9.325269369001035, 199, 22480, 47480, 12.839107513427734, 47.646297454833984, 1.0423617315801544e-07
98, -5059.312013328075, 2, 44.637539299961645, 985, 23465, 48465, 12.371869087219238, 47.96847915649414, 2.474617449387076e-08
99, -3791.571430206299, 2, 13.960505852999631, 299, 23764, 48764, 12.452134132385254, 49.147682189941406, 6.727092466426135e-08
