episode, reward, n_steps, epsilon, success_count, memory length
2801, -598.6119878926547, 1000, 0.04993675381238609, 0, 100000
2802, 44.40788056561723, 37, 0.04993675381238609, 0, 100000
2803, -234.46324066583475, 411, 0.04993675381238609, 0, 100000
2804, 45.648092998191714, 84, 0.04993675381238609, 0, 100000
2805, -359.3842001822195, 454, 0.04993675381238609, 0, 100000
2806, -242.62340364034753, 410, 0.04993675381238609, 0, 100000
2807, -197.91025107749738, 280, 0.04993675381238609, 0, 100000
2808, -345.4959116494283, 273, 0.04993675381238609, 0, 100000
2809, -196.85761566797737, 226, 0.04993675381238609, 0, 100000
2810, -142.33685987396166, 173, 0.04993675381238609, 0, 100000
2811, 44.53108461946249, 19, 0.04993675381238609, 0, 100000
2812, -402.1910873890665, 1000, 0.04993675381238609, 0, 100000
2813, -196.08459986839443, 308, 0.04993675381238609, 0, 100000
2814, -200.60710241901688, 187, 0.04993675381238609, 0, 100000
2815, -161.58342918381095, 66, 0.04993675381238609, 0, 100000
2816, -173.01719859056175, 91, 0.04993675381238609, 0, 100000
2817, -115.8336718538776, 51, 0.04993675381238609, 0, 100000
2818, -193.9849884873256, 148, 0.04993675381238609, 0, 100000
2819, -157.5926288506016, 116, 0.04993675381238609, 0, 100000
2820, -194.998616960831, 328, 0.04993675381238609, 0, 100000
2821, -289.6506003900431, 477, 0.04993675381238609, 0, 100000
2822, -140.32129310630262, 140, 0.04993675381238609, 0, 100000
2823, -228.81316459691152, 263, 0.04993675381238609, 0, 100000
2824, -187.7366744466126, 126, 0.04993675381238609, 0, 100000
2825, -144.78027277439833, 59, 0.04993675381238609, 0, 100000
2826, -304.88090229508816, 600, 0.04993675381238609, 0, 100000
2828, -148.10598902555648, 117, 0.04993675381238609, 0, 100000
2829, 20.484340745722875, 116, 0.04993675381238609, 0, 100000
2830, 51.78741503658239, 189, 0.04993675381238609, 0, 100000
2831, 38.7457173934672, 26, 0.04993675381238609, 0, 100000
2832, -114.75913660507649, 96, 0.04993675381238609, 0, 100000
2833, -226.29493826720864, 176, 0.04993675381238609, 0, 100000
2834, -122.9778686966747, 99, 0.04993675381238609, 0, 100000
2835, 26.13801249838434, 140, 0.04993675381238609, 0, 100000
2836, -98.26138948788866, 109, 0.04993675381238609, 0, 100000
2837, -173.12467080447823, 156, 0.04993675381238609, 0, 100000
2838, -165.78008178505115, 158, 0.04993675381238609, 0, 100000
2839, 38.1693845577538, 110, 0.04993675381238609, 0, 100000
2840, -116.74787366890814, 49, 0.04993675381238609, 0, 100000
2841, -126.26290127055836, 123, 0.04993675381238609, 0, 100000
2842, -138.5242489129305, 284, 0.04993675381238609, 0, 100000
2843, -107.37521576229483, 207, 0.04993675381238609, 0, 100000
2844, 46.03437634068541, 247, 0.04993675381238609, 0, 100000
2845, -277.635537893977, 356, 0.04993675381238609, 0, 100000
2846, -126.82760564843193, 87, 0.04993675381238609, 0, 100000
2847, -118.93889279151335, 92, 0.04993675381238609, 0, 100000
2848, 39.465511912014335, 67, 0.04993675381238609, 0, 100000
2849, -132.53035528591136, 136, 0.04993675381238609, 0, 100000
