episode, reward, duration, n_steps, epsilon, success_count, memory length
601, 687.3718926906586, 1.7090246677398682, 66, 0.5502961455841082, 0, 90383
603, 1434.3751950263977, 8.27462649345398, 322, 0.5491961035890855, 0, 90704
605, -781.8594515081495, 3.109733819961548, 125, 0.548098260578011, 0, 90828
606, 1642.8998070955276, 9.950586795806885, 414, 0.547550162317433, 0, 91241
607, -542.5818810164928, 4.910008907318115, 199, 0.5470026121551156, 0, 91439
608, 1034.707074046135, 5.416370153427124, 206, 0.5464556095429605, 0, 91644
609, 1240.2322087287903, 7.005770206451416, 261, 0.5459091539334175, 0, 91904
611, -327.87423473596573, 6.963778734207153, 259, 0.5448178815347047, 0, 92162
612, -39.24079084396362, 9.200146675109863, 353, 0.54427306365317, 0, 92514
613, 108.81774377822876, 10.959370851516724, 424, 0.5437287905895168, 0, 92937
614, 1070.3496181964874, 5.382761240005493, 216, 0.5431850617989273, 0, 93152
616, 566.7789488736307, 15.035372495651245, 601, 0.5420992348603912, 0, 93752
617, -352.15021657943726, 6.780308246612549, 272, 0.5415571356255309, 0, 94023
618, -373.67060989979655, 7.35044527053833, 274, 0.5410155784899053, 0, 94296
619, 1473.3022627830505, 9.639201879501343, 362, 0.5404745629114154, 0, 94657
620, -37.381762037053704, 10.905173540115356, 425, 0.539934088348504, 0, 95081
621, 147.755530834198, 11.034664869308472, 437, 0.5393941542601555, 0, 95517
622, 1622.9111129045486, 9.940108299255371, 404, 0.5388547601058953, 0, 95920
624, -489.8054361343384, 6.476581811904907, 262, 0.5377775894404436, 0, 96181
625, 4.3058154582977295, 9.095016717910767, 365, 0.5372398118510032, 0, 96545
626, -516.7545222043991, 4.710772275924683, 186, 0.5367025720391522, 0, 96730
627, 1068.482028245926, 5.547229766845703, 219, 0.536165869467113, 0, 96948
629, -388.12508456222713, 7.177363872528076, 285, 0.5350940738940482, 0, 97232
630, -524.2602138519287, 4.569955110549927, 182, 0.5345589798201541, 0, 97413
631, -375.06154843838885, 7.125205993652344, 284, 0.534024420840334, 0, 97696
632, -529.9646584689617, 4.619204521179199, 182, 0.5334903964194936, 0, 97877
633, 1538.2207535505295, 9.36939525604248, 375, 0.5329569060230741, 0, 98251
634, 2662.994030892849, 19.98863697052002, 804, 0.532423949117051, 0, 99054
635, 2246.538502883166, 16.449308395385742, 659, 0.531891525167934, 0, 99712
636, 867.6283187866211, 17.735763549804688, 710, 0.5313596336427661, 0, 100000
637, 1615.7626268863678, 9.653404235839844, 390, 0.5308282740091232, 0, 100000
638, 2669.329005509615, 19.95900797843933, 795, 0.5302974457351142, 0, 100000
639, -379.75096756219864, 5.997114419937134, 265, 0.5297671482893791, 0, 100000
640, -433.96534131094813, 5.14490008354187, 222, 0.5292373811410898, 0, 100000
641, 524.1973158121109, 12.630833387374878, 581, 0.5287081437599487, 0, 100000
642, 1782.623701453209, 9.828837633132935, 455, 0.5281794356161887, 0, 100000
644, -494.94146221503615, 5.703929424285889, 264, 0.5271236049243919, 0, 100000
645, 1016.2147407531738, 4.041601181030273, 186, 0.5265964813194676, 0, 100000
648, 354.0385367870331, 11.844953060150146, 544, 0.5250182711383566, 0, 100000
649, 152.46923488378525, 9.332988739013672, 425, 0.5244932528672183, 0, 100000
650, -394.5204895325005, 5.093569040298462, 238, 0.5239687596143511, 0, 100000
651, 335.45924231410027, 11.109287023544312, 515, 0.5234447908547367, 0, 100000
652, 523.4439401626587, 12.85818600654602, 595, 0.522921346063882, 0, 100000
653, 310.65907222032547, 10.593024969100952, 492, 0.522398424717818, 0, 100000
654, -188.47508363425732, 8.243975639343262, 384, 0.5218760262931003, 0, 100000
655, -438.4530631676316, 4.756943225860596, 220, 0.5213541502668072, 0, 100000
656, 1652.6683824062347, 9.28255844116211, 415, 0.5208327961165404, 0, 100000
657, -921.7726889848709, 2.0780417919158936, 95, 0.5203119633204238, 0, 100000
658, -433.5627602636814, 4.867934942245483, 218, 0.5197916513571034, 0, 100000
659, 395.5187756717205, 11.244436740875244, 526, 0.5192718597057463, 0, 100000
660, 300.47330445051193, 10.711673259735107, 494, 0.5187525878460405, 0, 100000
661, -244.37491765618324, 7.7898595333099365, 357, 0.5182338352581944, 0, 100000
662, -397.2394886612892, 5.034841060638428, 227, 0.5177156014229363, 0, 100000
663, 1712.005854010582, 9.8146493434906, 454, 0.5171978858215134, 0, 100000
664, 1130.490163385868, 5.5840818881988525, 256, 0.5166806879356919, 0, 100000
666, -982.6957757025957, 1.225722312927246, 53, 0.5156478432405085, 0, 100000
667, 1762.2069816589355, 9.56314754486084, 438, 0.515132195397268, 0, 100000
669, -969.879531693412, 1.560633659362793, 68, 0.5141024461386688, 0, 100000
670, 1028.9101190567017, 4.041928052902222, 186, 0.5135883436925301, 0, 100000
672, -848.4166427850723, 1.7572941780090332, 74, 0.5125616805934888, 0, 100000
673, -177.7275193054229, 8.662123918533325, 395, 0.5120491189128954, 0, 100000
674, 1759.789390206337, 9.919493198394775, 449, 0.5115370697939825, 0, 100000
676, -988.9173393864185, 1.7336628437042236, 79, 0.5105145071914643, 0, 100000
677, 1681.736344575882, 9.178473234176636, 423, 0.5100039926842729, 0, 100000
679, -995.3396104248241, 2.307569980621338, 105, 0.508984494702897, 0, 100000
680, -302.978596998204, 7.218936204910278, 333, 0.508475510208194, 0, 100000
681, 1716.205981850624, 9.495815515518188, 438, 0.5079670346979859, 0, 100000
683, 1857.2659801933914, 11.84379267692566, 538, 0.5069516085956246, 0, 100000
685, 1608.2770568365231, 9.809589385986328, 448, 0.505938212330042, 0, 100000
687, 2271.8401556015015, 14.318263053894043, 616, 0.5049268418435943, 0, 100000
689, -977.3653153292835, 1.2397887706756592, 54, 0.5039174930867489, 0, 100000
690, -392.9217356443405, 4.957730770111084, 229, 0.5034135755936622, 0, 100000
691, -409.4269673526287, 4.930222749710083, 227, 0.5029101620180685, 0, 100000
692, -123.80375859560445, 11.244310855865479, 524, 0.5024072518560504, 0, 100000
693, 1016.8043689727783, 3.884490966796875, 177, 0.5019048446041944, 0, 100000
694, -730.6959617137909, 2.6938138008117676, 122, 0.5014029397595902, 0, 100000
