episode, reward, duration, n_steps, noise_sigma, success_count, memory length
88, -748.9759420715272, 74.30416083335876, 498, 0.99, 0, 43166
89, -666.8765790852485, 103.78734540939331, 498, 0.99, 0, 43663
90, -811.3115560321603, 59.116544008255005, 498, 0.99, 0, 44160
91, -799.8865372384898, 58.11536169052124, 498, 0.99, 0, 44657
92, -693.9425766733475, 58.651384592056274, 498, 0.99, 0, 45154
93, -636.2549083270133, 76.50994658470154, 498, 0.99, 0, 45651
94, -765.6301612449461, 59.81370186805725, 498, 0.99, 0, 46148
95, -558.0608593681827, 58.793641805648804, 498, 0.99, 0, 46645
96, -740.8043520166539, 59.128419160842896, 498, 0.99, 0, 47142
97, -743.7052476094104, 59.22117042541504, 498, 0.99, 0, 47639
98, -663.5242551164702, 77.13243055343628, 498, 0.99, 0, 48136
99, -793.1329624631908, 59.6081109046936, 498, 0.99, 0, 48633
100, -849.5269508911297, 72.3284387588501, 498, 0.99, 0, 49130
101, -796.7048442566302, 65.46269798278809, 498, 0.99, 0, 49627
102, -715.3940354163351, 65.91543078422546, 498, 0.99, 0, 50124
103, -784.4231491712853, 61.587759017944336, 498, 0.99, 0, 50621
104, -784.7398967281915, 57.81342554092407, 498, 0.99, 0, 51118
105, -818.4044964908389, 58.12339663505554, 498, 0.99, 0, 51615
106, -756.6865630727261, 57.69128966331482, 498, 0.99, 0, 52112
107, 416.1133001036942, 4.600668668746948, 41, 0.99, 0, 52152
108, -772.6527108550072, 92.89016628265381, 498, 0.99, 0, 52649
109, -780.6903746575117, 63.18695688247681, 498, 0.99, 0, 53146
110, -520.4979922464117, 70.93059873580933, 498, 0.99, 0, 53643
111, -231.9738864582032, 56.57461905479431, 434, 0.99, 0, 54076
