episode, reward, duration, n_steps, epsilon, success_count, memory length, avg_critic_loss, avg_actor_loss
1, 510.7079553604126, 0.03521871566772461, 4, 1.0, 0, 3, 0.0, 0.0
2, 502.7709077373147, 3.5675861835479736, 145, 0.999, 0, 147, 0.5897164344787598, -4.798661231994629
3, -1149.7146806793753, 44.49768829345703, 598, 0.998001, 0, 744, 2.7645835876464844, -125.69683837890625
4, -1166.9145993009442, 43.88436555862427, 598, 0.997002999, 0, 1341, 2.3478565216064453, -225.93284606933594
5, -1160.2547055114992, 43.886642932891846, 598, 0.996005996001, 0, 1938, 2.469050168991089, -303.09307861328125
6, -1153.4810252259485, 43.65866041183472, 598, 0.995009990004999, 0, 2535, 2.3805975914001465, -374.2601013183594
7, -1146.0616092964774, 47.37547421455383, 598, 0.994014980014994, 0, 3132, 2.774501323699951, -431.4290771484375
8, 805.5091071395436, 39.63168239593506, 537, 0.993020965034979, 0, 3668, 2.785693407058716, -476.1427917480469
9, -1138.1659130435437, 57.14767932891846, 598, 0.9920279440699441, 0, 4265, 2.418853759765625, -517.1538696289062
10, -1150.2982498575002, 53.78674793243408, 598, 0.9910359161258742, 0, 4862, 2.2290754318237305, -554.5107421875
11, -1156.8474546710495, 52.448405742645264, 598, 0.9900448802097482, 0, 5459, 2.4408676624298096, -591.1182861328125
12, -1137.2595461042365, 55.74313712120056, 598, 0.9890548353295385, 0, 6056, 2.5023202896118164, -629.9747314453125
13, -1149.391944073839, 55.37868928909302, 598, 0.988065780494209, 0, 6653, 2.682177782058716, -667.7611694335938
14, -1159.8153025899082, 54.68148994445801, 598, 0.9870777147137147, 0, 7250, 2.5054242610931396, -705.777587890625
15, -1151.8246524817077, 54.944411516189575, 598, 0.986090636999001, 0, 7847, 2.341569662094116, -731.2528686523438
16, -1151.5755013434682, 56.12639546394348, 598, 0.9851045463620021, 0, 8444, 2.5738492012023926, -767.2953491210938
17, -1162.4385596630163, 54.83643555641174, 598, 0.98411944181564, 0, 9041, 2.4458789825439453, -801.4189453125
18, -1187.1187461665832, 55.224536657333374, 598, 0.9831353223738244, 0, 9638, 2.2553162574768066, -831.5138549804688
19, -1131.338305332698, 55.12794327735901, 598, 0.9821521870514506, 0, 10235, 2.409341812133789, -861.2705078125
20, -1170.6430863826536, 46.846272230148315, 598, 0.9811700348643991, 0, 10832, 2.193709135055542, -901.9552612304688
21, -1171.154646949144, 40.75160884857178, 598, 0.9801888648295347, 0, 11429, 2.2788901329040527, -919.8192138671875
22, -1135.2104594744742, 41.56514883041382, 598, 0.9792086759647052, 0, 12026, 2.304380178451538, -953.988525390625
23, -1155.9848878196208, 41.61356282234192, 598, 0.9782294672887405, 0, 12623, 2.581568956375122, -987.8773803710938
24, -1169.8905832110904, 41.68178200721741, 598, 0.9772512378214517, 0, 13220, 2.4274911880493164, -1019.1258544921875
25, -1193.1009042183869, 41.50125455856323, 598, 0.9762739865836303, 0, 13817, 2.3066763877868652, -1046.358642578125
26, -1136.5921310503036, 41.180946588516235, 598, 0.9752977125970467, 0, 14414, 1.8960319757461548, -1083.946533203125
27, -1141.1368672517128, 40.69245481491089, 598, 0.9743224148844496, 0, 15011, 2.1857242584228516, -1113.4586181640625
28, -1142.7365928948857, 41.30127239227295, 598, 0.9733480924695651, 0, 15608, 3.0043435096740723, -1147.8765869140625
29, -1175.095208654413, 41.1833610534668, 598, 0.9723747443770956, 0, 16205, 2.4800167083740234, -1185.5233154296875
