episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss, stacking_duration
4201, 2440.4303510189056, 1, 2.787385044000075, 45, 955188, 1000000, 46.68370819091797, 330.37744140625, 4.2215554761545113e-07
4202, 1983.910214036703, 1, 14.539858701999947, 237, 955425, 1000000, 44.2491455078125, 338.4622802734375, 7.013502003446237e-08
4203, -3037.1955738067627, 3, 10.128098929999396, 161, 955586, 1000000, 43.71067810058594, 338.34051513671875, 1.717826081906237e-07
4204, 2336.7633125185966, 1, 6.737362240000039, 111, 955697, 1000000, 45.95756530761719, 340.73431396484375, 1.4975675848954534e-07
4205, 2174.3165471851826, 1, 10.726713086999553, 174, 955871, 1000000, 45.138790130615234, 338.8984069824219, 9.593103400795539e-08
4206, 1920.7862433195114, 1, 10.54635106799924, 173, 956044, 1000000, 42.669281005859375, 337.8866882324219, 1.0334682400032845e-07
4207, 1904.6564532518387, 1, 12.332656845000201, 198, 956242, 1000000, 44.00897979736328, 338.7453308105469, 9.382828273263646e-08
4208, 2183.4581701755524, 1, 9.527375622000363, 153, 956395, 1000000, 45.589447021484375, 338.146240234375, 1.7666012603976746e-07
4209, 2154.532054156065, 1, 13.754612597000232, 227, 956622, 1000000, 45.12576675415039, 337.34649658203125, 8.6145374925483e-08
4210, 1393.4264929890633, 1, 25.56472428000052, 423, 957045, 1000000, 45.29545211791992, 338.34747314453125, 4.854137061414778e-08
4211, 1978.542592048645, 1, 13.554247944000053, 224, 957269, 1000000, 44.50429153442383, 338.9344177246094, 7.295982332574827e-08
4212, 1888.9927322864532, 1, 15.140152441999817, 248, 957517, 1000000, 45.076175689697266, 338.1959533691406, 6.956048353810817e-08
4213, 2197.5219153165817, 1, 10.52641198999936, 172, 957689, 1000000, 44.990928649902344, 339.3503723144531, 1.0882558325287984e-07
4214, 1937.615916609764, 1, 14.760642475000168, 242, 957931, 1000000, 44.50892639160156, 338.39605712890625, 8.340495982383425e-08
4215, 2156.805059671402, 1, 11.929220455000177, 195, 958126, 1000000, 45.6719856262207, 339.02178955078125, 9.025641189416488e-08
4216, 2246.5189401507378, 1, 9.92759201699937, 162, 958288, 1000000, 44.32768630981445, 337.9220275878906, 1.1597531165871597e-07
4217, 1214.5396265685558, 1, 32.18732022899985, 526, 958814, 1000000, 44.80585479736328, 339.1278381347656, 3.107224326928681e-08
4218, 2152.7539778649807, 1, 11.75303062399962, 195, 959009, 1000000, 44.619930267333984, 338.1427001953125, 9.38410243506018e-08
4219, 2283.724863022566, 1, 8.32267465699988, 133, 959142, 1000000, 44.46559143066406, 338.79412841796875, 1.7487217745038196e-07
4220, 2066.564212322235, 1, 10.547787004000384, 175, 959317, 1000000, 44.625946044921875, 338.9144592285156, 1.0615999989178298e-07
4221, 2290.974343240261, 1, 9.925602002000232, 159, 959476, 1000000, 45.62526321411133, 338.9752502441406, 9.971068984039608e-08
4222, 2232.879306435585, 1, 12.3518604030005, 200, 959676, 1000000, 45.7221565246582, 339.92462158203125, 9.114499789575348e-08
