episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
125, -2504.099862575531, 2, 6, 73, 14904, 39904, 12.398967742919922, 20.038938522338867
126, -2699.870091676712, 2, 14, 162, 15066, 40066, 13.196002960205078, 20.298519134521484
127, -2271.5913796424866, 2, 5, 56, 15122, 40122, 13.505915641784668, 20.130001068115234
128, -2517.84530377388, 2, 9, 105, 15227, 40227, 12.593839645385742, 20.199398040771484
129, -2348.76993393898, 2, 0, 64, 15291, 40291, 13.004234313964844, 20.398202896118164
130, -2466.98810172081, 3, 9, 109, 15400, 40400, 13.962770462036133, 20.538244247436523
131, -2348.8340632915497, 2, 5, 60, 15460, 40460, 14.040762901306152, 20.633750915527344
132, -2420.8975685834885, 2, 8, 100, 15560, 40560, 12.763330459594727, 20.375904083251953
133, -3097.5440723896027, 2, 12, 136, 15696, 40696, 12.790703773498535, 20.53486442565918
134, -2238.738602399826, 2, 5, 59, 15755, 40755, 13.05794906616211, 20.598783493041992
135, -3109.9550516605377, 2, 23, 259, 16014, 41014, 13.26267147064209, 20.660667419433594
136, -2301.9853801727295, 2, 0, 108, 16122, 41122, 13.652690887451172, 20.736183166503906
137, -2448.123860359192, 2, 5, 64, 16186, 41186, 12.139596939086914, 20.754751205444336
138, -2372.1594438552856, 3, 9, 100, 16286, 41286, 13.048689842224121, 20.623695373535156
139, -2781.7208721637726, 2, 0, 157, 16443, 41443, 13.115697860717773, 20.926219940185547
140, -3101.598754644394, 2, 19, 210, 16653, 41653, 12.22636604309082, 20.866378784179688
141, -2545.2204899787903, 2, 14, 170, 16823, 41823, 13.682526588439941, 21.120071411132812
142, -2825.3487082719803, 3, 11, 134, 16957, 41957, 13.254972457885742, 21.075542449951172
143, -2509.5294251441956, 3, 9, 108, 17065, 42065, 13.601227760314941, 21.29852294921875
144, -2596.5932141542435, 2, 13, 144, 17209, 42209, 13.44981575012207, 21.397829055786133
145, -2990.9715554714203, 2, 15, 174, 17383, 42383, 12.826409339904785, 21.319507598876953
146, -2539.5511178970337, 2, 14, 162, 17545, 42545, 13.347155570983887, 21.49944305419922
147, 2433.9210333824158, 1, 4, 54, 17599, 42599, 12.947648048400879, 21.54499626159668
148, -2730.7668328285217, 2, 11, 125, 17724, 42724, 14.152875900268555, 21.610626220703125
149, -2385.2949759960175, 3, 9, 106, 17830, 42830, 12.700667381286621, 21.636001586914062
150, -2346.7193098068237, 2, 5, 63, 17893, 42893, 12.680181503295898, 21.706823348999023
151, -2313.5985379219055, 2, 5, 57, 17950, 42950, 13.396458625793457, 21.793895721435547
152, -2567.607948064804, 3, 10, 125, 18075, 43075, 12.928021430969238, 21.716930389404297
153, -3692.78421831131, 2, 15, 173, 18248, 43248, 13.242867469787598, 21.874364852905273
154, -2581.210550069809, 2, 9, 104, 18352, 43352, 13.183095932006836, 21.983299255371094
155, -2778.021496295929, 2, 14, 155, 18507, 43507, 13.673980712890625, 22.014591217041016
156, -2309.522812962532, 3, 8, 102, 18609, 43609, 13.404032707214355, 22.048524856567383
157, -2330.1627719402313, 2, 4, 51, 18660, 43660, 13.796361923217773, 22.40666389465332
158, -2323.22010409832, 2, 0, 62, 18722, 43722, 14.247742652893066, 22.554790496826172
159, -2474.416546344757, 3, 9, 100, 18822, 43822, 13.606463432312012, 22.377405166625977
160, -2966.8579166531563, 3, 16, 186, 19008, 44008, 12.943105697631836, 22.36715316772461
161, -2736.9075689315796, 2, 17, 196, 19204, 44204, 12.911258697509766, 22.374113082885742
162, -2375.609561562538, 2, 9, 108, 19312, 44312, 12.561088562011719, 22.59575080871582
163, -2515.139489889145, 2, 9, 103, 19415, 44415, 13.23179817199707, 22.69331932067871
164, -3104.8287024497986, 2, 22, 251, 19666, 44666, 13.009735107421875, 22.57191276550293
165, -2475.8650844097137, 2, -17, 69, 19735, 44735, 13.151253700256348, 22.888736724853516
166, -2356.4711059331894, 2, 6, 74, 19809, 44809, 12.855599403381348, 22.859989166259766
167, -2499.2466518878937, 3, 9, 107, 19916, 44916, 13.075252532958984, 22.923490524291992
168, -2483.335851430893, 3, 11, 130, 20046, 45046, 13.53193473815918, 22.921276092529297
169, -3057.8404564857483, 2, 9, 243, 20289, 45289, 13.104841232299805, 22.95950698852539
170, -3108.226881980896, 2, 12, 137, 20426, 45426, 12.63331127166748, 23.09195899963379
171, -2270.0650001764297, 2, 5, 63, 20489, 45489, 13.228010177612305, 23.2185001373291
172, -2323.8602724075317, 3, 8, 97, 20586, 45586, 13.609874725341797, 23.43088722229004
173, -2492.239331960678, 3, 9, 100, 20686, 45686, 12.96407699584961, 23.148632049560547
174, -3448.86424100399, 2, 39, 449, 21135, 46135, 13.110614776611328, 23.40079689025879
175, -3161.402693271637, 2, 18, 204, 21339, 46339, 12.683280944824219, 23.524341583251953
176, -2333.6678688526154, 2, 5, 61, 21400, 46400, 12.112991333007812, 23.335031509399414
177, -2393.5397325754166, 2, 9, 111, 21511, 46511, 13.545498847961426, 23.734115600585938
178, -3268.1056087613106, 2, 27, 311, 21822, 46822, 12.578145980834961, 23.814239501953125
179, -2321.40399312973, 2, 8, 105, 21927, 46927, 13.783686637878418, 24.14533042907715
180, -2934.174575328827, 2, 17, 193, 22120, 47120, 12.942953109741211, 23.946744918823242
181, -2432.8299598693848, 2, -13, 65, 22185, 47185, 13.3002347946167, 24.163516998291016
