episode, reward, success, duration, n_steps, epsilon, success_count, memory length, avg_critic_loss, avg_actor_loss
2801, 7758.253823399544, True, 1.6721627712249756, 142, 0, 0, 141, 4.045853137969971, -48456.68359375
2802, 7709.000657439232, True, 10.05191707611084, 138, 0, 0, 278, 34.53297424316406, -384224.71875
2803, -7714.299230217934, False, 3.5643200874328613, 53, 0, 0, 330, 39.03664779663086, -335393.5
2804, 7647.087866783142, True, 10.347712516784668, 152, 0, 0, 481, 54.66960525512695, -278733.84375
2805, 7200.887187123299, True, 16.86645746231079, 245, 0, 0, 725, 43.39532470703125, -242804.609375
2806, 7636.191146731377, True, 12.61793327331543, 185, 0, 0, 909, 42.816349029541016, -227327.890625
2807, -8789.790103316307, False, 7.5177552700042725, 109, 0, 0, 1017, 39.65388488769531, -228312.640625
2808, -7947.274352431297, False, 8.500017404556274, 128, 0, 0, 1144, 44.74007797241211, -201135.078125
2809, 7491.200336456299, True, 10.216758966445923, 146, 0, 0, 1289, 52.95395278930664, -191111.3125
2810, -9591.538550257683, False, 11.9501051902771, 179, 0, 0, 1467, 50.232688903808594, -190361.5625
2811, 7544.270977020264, True, 7.620682001113892, 114, 0, 0, 1580, 53.01356887817383, -186185.328125
2812, -7392.105652928352, False, 1.572864294052124, 25, 0, 0, 1604, 53.213016510009766, -188241.84375
2813, -14959.371562123299, False, 19.92789626121521, 294, 0, 0, 1897, 50.73026657104492, -172802.375
2814, 7522.501597046852, True, 6.736792325973511, 101, 0, 0, 1997, 55.06289291381836, -155389.53125
2815, -10358.570533752441, False, 6.349087953567505, 93, 0, 0, 2089, 59.425376892089844, -152306.703125
2816, 7702.077551245689, True, 4.867951154708862, 73, 0, 0, 2161, 66.71723175048828, -152070.8125
2817, -9115.86099743843, False, 15.139951467514038, 224, 0, 0, 2384, 63.07477569580078, -155261.203125
2818, 7508.645723223686, True, 7.552698135375977, 110, 0, 0, 2493, 62.925392150878906, -154750.484375
