episode, reward, success, duration, n_steps, epsilon, success_count, memory length, avg_critic_loss, avg_actor_loss
1, 7967.638565063477, True, 0.02076888084411621, 4, 0, 0, 3, 0.0, 0.0
2, -8503.530197262764, False, 11.402052879333496, 282, 0, 0, 284, 23.449527740478516, 428.4964904785156
3, -7307.673791646957, False, 6.830773830413818, 96, 0, 0, 379, 46.767398834228516, 696.4917602539062
4, -7773.422969341278, False, 12.821357011795044, 182, 0, 0, 560, 44.51821517944336, 861.5099487304688
5, -7433.678105831146, False, 5.147615671157837, 76, 0, 0, 635, 51.67548751831055, 990.9409790039062
6, -7614.48353934288, False, 7.501022815704346, 108, 0, 0, 742, 51.206050872802734, 1064.4969482421875
7, -7642.82265663147, False, 7.2844157218933105, 106, 0, 0, 847, 59.642948150634766, 1175.9794921875
8, -7789.624338626862, False, 11.062868118286133, 159, 0, 0, 1005, 49.962364196777344, 1296.3612060546875
9, -7595.670150876045, False, 11.606752157211304, 166, 0, 0, 1170, 49.95956039428711, 1363.383056640625
10, -7467.56032204628, False, 7.134721755981445, 99, 0, 0, 1268, 53.03584289550781, 1376.423095703125
11, 7886.575342774391, True, 4.843462228775024, 70, 0, 0, 1337, 66.5379409790039, 1420.0704345703125
12, -7300.870511054993, False, 2.605799436569214, 37, 0, 0, 1373, 65.6286849975586, 1376.009765625
13, -7462.807434558868, False, 5.606367588043213, 82, 0, 0, 1454, 59.78045654296875, 1426.1968994140625
14, -7830.251274585724, False, 10.896993637084961, 156, 0, 0, 1609, 63.85071563720703, 1503.5963134765625
15, -9080.235449552536, False, 38.372135400772095, 683, 0, 0, 2291, 54.11970520019531, 1593.2381591796875
16, -8453.995035409927, False, 17.527220726013184, 328, 0, 0, 2618, 49.026912689208984, 1806.0445556640625
17, -7829.4748430252075, False, 10.6601243019104, 192, 0, 0, 2809, 43.41498947143555, 1938.4002685546875
18, -7484.949138522148, False, 11.50899624824524, 155, 0, 0, 2963, 49.62726974487305, 1969.4129638671875
19, -8097.398243904114, False, 19.616796255111694, 271, 0, 0, 3233, 43.56692886352539, 2030.130126953125
20, -7689.28659081459, False, 9.173434257507324, 130, 0, 0, 3362, 40.583641052246094, 2115.23095703125
21, -7384.485193610191, False, 9.441952228546143, 144, 0, 0, 3505, 43.52388381958008, 2154.8701171875
22, -7490.578115940094, False, 5.5888471603393555, 83, 0, 0, 3587, 49.37070083618164, 2198.34326171875
23, 7705.406990528107, True, 11.918540477752686, 182, 0, 0, 3768, 45.00583267211914, 2253.87939453125
24, -7322.132588148117, False, 2.4823780059814453, 39, 0, 0, 3806, 44.63105392456055, 2269.57373046875
25, -7533.00439453125, False, 5.600225448608398, 87, 0, 0, 3892, 53.247928619384766, 2402.394287109375
26, -7919.121534109116, False, 13.487211227416992, 210, 0, 0, 4101, 44.99551773071289, 2461.85546875
27, -7481.921186685562, False, 7.159911155700684, 109, 0, 0, 4209, 36.656795501708984, 2526.180419921875
28, -8088.122882843018, False, 11.229887247085571, 167, 0, 0, 4375, 47.7776985168457, 2633.556640625
29, -8189.562455415726, False, 9.033489465713501, 138, 0, 0, 4512, 42.3330078125, 2760.640869140625
30, -7395.153075575829, False, 6.896642208099365, 105, 0, 0, 4616, 54.25555419921875, 2805.5078125
31, -7385.163727760315, False, 5.45537543296814, 84, 0, 0, 4699, 45.203758239746094, 2867.884521484375
32, -8112.340762853622, False, 13.99553394317627, 220, 0, 0, 4918, 42.8093376159668, 2939.46875
