episode, reward, success, duration, n_steps, epsilon, success_count, memory length, avg_critic_loss, avg_actor_loss
24, -10963.034496154898, False, 5.0069804191589355, 273, 0.9772512378214517, 0, 10465, 23.56047821044922, 1403.507568359375
25, -11129.759575735428, False, 10.902723789215088, 594, 0.9762739865836303, 0, 11058, 22.394746780395508, 1517.176025390625
26, -9974.122987214825, False, 10.903685808181763, 589, 0.9752977125970467, 0, 11646, 24.099361419677734, 1654.580810546875
27, -11882.009723155934, False, 17.75386333465576, 979, 0.9743224148844496, 0, 12624, 22.424884796142578, 1724.970947265625
28, -10949.94713235923, False, 11.15172266960144, 620, 0.9733480924695651, 0, 13243, 23.25283432006836, 1894.8441162109375
29, -10215.805416405201, False, 5.33506441116333, 284, 0.9723747443770956, 0, 13526, 27.464508056640625, 1864.749755859375
30, -11083.410518625285, False, 6.395568370819092, 335, 0.9714023696327185, 0, 13860, 20.91922950744629, 1884.328857421875
31, -9930.270456226775, False, 11.962502241134644, 640, 0.9704309672630859, 0, 14499, 19.68499755859375, 1964.275634765625
32, -10704.831921273086, False, 12.92011308670044, 707, 0.9694605362958227, 0, 15205, 24.576065063476562, 2058.54150390625
33, -11156.6162532866, False, 11.274153232574463, 616, 0.9684910757595269, 0, 15820, 22.273807525634766, 2114.05419921875
34, -11063.579832062125, False, 12.388845205307007, 662, 0.9675225846837673, 0, 16481, 20.77768325805664, 2168.859619140625
35, -11509.31545505629, False, 7.923979759216309, 414, 0.9665550620990835, 0, 16894, 18.765457153320312, 2256.0537109375
36, -9889.604057125747, False, 11.145248174667358, 585, 0.9655885070369844, 0, 17478, 20.41312026977539, 2293.41259765625
37, -10972.199416637537, False, 11.733429431915283, 629, 0.9646229185299474, 0, 18106, 25.286422729492188, 2358.046142578125
38, 12330.993074715137, True, 3.871770143508911, 198, 0.9636582956114175, 0, 18303, 19.216983795166016, 2325.826171875
39, -11060.38256469369, False, 7.619017601013184, 396, 0.9626946373158061, 0, 18698, 22.445709228515625, 2448.20166015625
40, 12343.780129736057, True, 4.358031272888184, 231, 0.9617319426784903, 0, 18928, 22.734439849853516, 2532.521484375
41, -10453.142985743005, False, 2.265627861022949, 113, 0.9607702107358118, 0, 19040, 22.859926223754883, 2322.641357421875
42, -11051.59120069728, False, 12.373971462249756, 663, 0.959809440525076, 0, 19702, 22.952024459838867, 2390.53271484375
43, -10551.859967495082, False, 13.249341487884521, 745, 0.9588496310845509, 0, 20446, 20.45557975769043, 2424.439208984375
44, -10619.632978375652, False, 6.077531814575195, 322, 0.9578907814534664, 0, 20767, 17.924800872802734, 2403.227783203125
45, -10378.012329936028, False, 5.256357192993164, 269, 0.9569328906720129, 0, 21035, 24.13665008544922, 2397.7392578125
46, -11018.871552015073, False, 16.256802797317505, 891, 0.9559759577813409, 0, 21925, 22.675195693969727, 2380.495849609375
47, -10321.714769901591, False, 6.582922458648682, 361, 0.9550199818235596, 0, 22285, 21.804866790771484, 2442.643798828125
48, -10878.668582379818, False, 4.706913232803345, 227, 0.9540649618417361, 0, 22511, 19.067798614501953, 2395.560546875
49, -13191.264676217921, False, 12.81746506690979, 690, 0.9531108968798944, 0, 23200, 24.46148681640625, 2488.081787109375
50, -13135.057833611965, False, 11.885534286499023, 656, 0.9521577859830145, 0, 23855, 18.81997299194336, 2830.3125
51, -11342.513093713933, False, 11.748494148254395, 635, 0.9512056281970315, 0, 24489, 21.210716247558594, 2949.981201171875
52, -11366.90331697464, False, 5.571423530578613, 291, 0.9502544225688344, 0, 24779, 25.37675666809082, 3070.683349609375
53, -10984.494523838162, False, 6.308447360992432, 330, 0.9493041681462656, 0, 25108, 21.64975357055664, 3225.697998046875
54, -10214.637067867443, False, 10.965800762176514, 577, 0.9483548639781193, 0, 25684, 20.920530319213867, 3141.90478515625
55, -11035.90088558261, False, 12.218052864074707, 672, 0.9474065091141411, 0, 26355, 22.077396392822266, 3076.40673828125
56, -10150.059899212327, False, 6.736521482467651, 363, 0.946459102605027, 0, 26717, 18.990571975708008, 3225.843994140625
57, -10978.416746185132, False, 7.32683801651001, 387, 0.9455126435024219, 0, 27103, 18.56601333618164, 3258.935302734375
58, -12968.823127614683, False, 11.749256134033203, 644, 0.9445671308589195, 0, 27746, 23.581382751464844, 3223.771240234375
59, -11626.00397977978, False, 12.650043964385986, 699, 0.9436225637280606, 0, 28444, 22.66629981994629, 3703.652099609375
60, -10652.226483547362, False, 6.915077447891235, 329, 0.9426789411643326, 0, 28772, 18.60649871826172, 3706.366943359375
61, -10953.948220837628, False, 11.590878963470459, 620, 0.9417362622231683, 0, 29391, 22.548030853271484, 3836.99560546875
62, -10755.055704845232, False, 11.590724468231201, 633, 0.9407945259609451, 0, 30023, 18.95892906188965, 3743.019287109375
63, -12261.023264061194, False, 11.392476797103882, 623, 0.9398537314349842, 0, 30645, 22.050840377807617, 3920.832275390625
64, -11299.675926537893, False, 11.804449558258057, 643, 0.9389138777035492, 0, 31287, 24.715126037597656, 3970.8017578125
65, -10927.967960047463, False, 9.508278131484985, 517, 0.9379749638258457, 0, 31803, 20.250164031982422, 4186.59912109375
66, -11140.980562005258, False, 13.698632717132568, 734, 0.9370369888620198, 0, 32536, 23.52952003479004, 4193.46630859375
67, -11298.266280184267, False, 11.659658908843994, 639, 0.9360999518731578, 0, 33174, 21.65185546875, 4367.0263671875
68, -14443.576169137057, False, 15.679755210876465, 856, 0.9351638519212846, 0, 34029, 20.980762481689453, 4358.3359375
69, -11081.6031596018, False, 9.672908306121826, 530, 0.9342286880693633, 0, 34558, 19.002532958984375, 4691.48046875
70, 12327.547909457237, True, 4.12265419960022, 215, 0.933294459381294, 0, 34772, 20.559864044189453, 4533.77880859375
71, -16991.37150685172, False, 19.88330364227295, 1076, 0.9323611649219127, 0, 35847, 21.60917091369629, 4719.6142578125
72, 2659.3371423361823, True, 22.58461046218872, 1256, 0.9314288037569908, 0, 37102, 22.80902099609375, 5233.68701171875
73, -11712.280623586383, False, 13.68107008934021, 731, 0.9304973749532338, 0, 37832, 23.0863094329834, 5263.44775390625
74, -10795.613310471177, False, 5.264718770980835, 271, 0.9295668775782806, 0, 38102, 20.096174240112305, 5226.97802734375
75, 1592.686218033312, True, 15.63329005241394, 816, 0.9286373107007023, 0, 38917, 21.70786476135254, 5621.67236328125
76, -11754.66449039895, False, 4.679009437561035, 243, 0.9277086733900016, 0, 39159, 18.809797286987305, 5894.8740234375
77, -12696.176304402761, False, 13.283173561096191, 694, 0.9267809647166116, 0, 39852, 21.307214736938477, 6108.45947265625
78, -11399.810496501159, False, 18.876984119415283, 1028, 0.925854183751895, 0, 40879, 23.05602264404297, 6437.5576171875
79, -10298.964726664126, False, 4.857597351074219, 257, 0.9249283295681431, 0, 41135, 19.215866088867188, 6715.66796875
80, -11403.037654849393, False, 17.28419017791748, 911, 0.9240034012385749, 0, 42045, 21.34611701965332, 6537.89892578125
81, -26458.351698069833, False, 21.42431879043579, 1166, 0.9230793978373364, 0, 43210, 22.03757667541504, 6992.93505859375
82, -13151.922035110474, False, 12.546205282211304, 664, 0.9221563184394991, 0, 43873, 21.327184677124023, 7778.59130859375
83, -10147.142721565324, False, 4.955616474151611, 252, 0.9212341621210596, 0, 44124, 22.343463897705078, 8075.7841796875
84, -11604.345316657098, False, 12.051747560501099, 609, 0.9203129279589385, 0, 44732, 21.245546340942383, 7903.43994140625
85, 12751.130913962144, True, 13.724168062210083, 736, 0.9193926150309796, 0, 45467, 22.75710105895996, 8218.1708984375
86, -11686.342183835804, False, 6.013094663619995, 308, 0.9184732224159486, 0, 45774, 24.194244384765625, 8044.84033203125
87, -11406.987463833764, False, 12.099889516830444, 626, 0.9175547491935327, 0, 46399, 20.12289047241211, 8336.4384765625
88, -9787.937829496892, False, 24.65753197669983, 1314, 0.9166371944443392, 0, 47712, 22.43602180480957, 8330.044921875
89, -10308.467153089121, False, 7.4892919063568115, 394, 0.9157205572498949, 0, 48105, 19.959970474243164, 8614.3447265625
90, -11325.748353209347, False, 13.76387071609497, 695, 0.914804836692645, 0, 48799, 21.24055290222168, 8399.296875
91, -12113.963115613908, False, 9.921142101287842, 478, 0.9138900318559524, 0, 49276, 23.39869499206543, 8740.58984375
92, -11421.96173542738, False, 6.979597806930542, 347, 0.9129761418240965, 0, 49622, 26.01947021484375, 8712.978515625
93, -10617.551147314254, False, 5.919966459274292, 292, 0.9120631656822724, 0, 49913, 21.53086280822754, 8506.9130859375
94, -10958.480829394306, False, 11.11563229560852, 565, 0.9111511025165902, 0, 50477, 20.256301879882812, 8786.6611328125
95, 12278.103590651415, True, 4.776453495025635, 238, 0.9102399514140735, 0, 50714, 21.993249893188477, 8851.94140625
96, -10809.952578492113, False, 7.263353586196899, 359, 0.9093297114626595, 0, 51072, 19.415813446044922, 8709.9619140625
97, -10597.387838792987, False, 5.4456493854522705, 273, 0.9084203817511969, 0, 51344, 20.462322235107422, 8602.7724609375
98, -13051.429081291084, False, 11.252455711364746, 577, 0.9075119613694457, 0, 51920, 20.763185501098633, 8735.388671875
99, -10383.838235277392, False, 5.179792881011963, 260, 0.9066044494080763, 0, 52179, 27.799896240234375, 9455.62890625
100, -10704.51196452789, False, 12.881158351898193, 648, 0.9056978449586682, 0, 52826, 22.288074493408203, 9398.8115234375
101, -10369.836425462738, False, 5.305377006530762, 270, 0.9047921471137096, 0, 53095, 19.219449996948242, 9185.8359375
102, -18456.831795703736, False, 14.13264513015747, 719, 0.9038873549665959, 0, 53813, 25.348051071166992, 9386.6328125
103, -10517.274914775044, False, 5.121103525161743, 258, 0.9029834676116293, 0, 54070, 25.97735023498535, 9876.7705078125
104, -10990.560082546202, False, 7.212771654129028, 361, 0.9020804841440176, 0, 54430, 23.547792434692383, 9875.146484375
105, -11404.425678522675, False, 15.128770112991333, 759, 0.9011784036598737, 0, 55188, 21.25567626953125, 9946.36328125
106, -10637.685806972524, False, 9.625762462615967, 495, 0.9002772252562138, 0, 55682, 20.978519439697266, 9996.3515625
107, -11843.924453908912, False, 13.293484210968018, 672, 0.8993769480309576, 0, 56353, 20.72403335571289, 10031.181640625
108, -10566.409597912105, False, 5.301515817642212, 262, 0.8984775710829266, 0, 56614, 21.42472267150879, 9965.3955078125
109, -10690.460099348798, False, 13.987689733505249, 690, 0.8975790935118436, 0, 57303, 22.108020782470703, 10196.8017578125
110, -11733.767260486959, False, 11.988340854644775, 590, 0.8966815144183318, 0, 57892, 22.269580841064453, 10134.232421875
111, -11752.745548227802, False, 12.534824848175049, 635, 0.8957848329039134, 0, 58526, 21.553844451904297, 10255.1953125
112, -10931.031209641136, False, 5.372156858444214, 268, 0.8948890480710096, 0, 58793, 25.10443115234375, 10230.978515625
113, -11223.032302565873, False, 8.145606756210327, 401, 0.8939941590229386, 0, 59193, 18.886001586914062, 10326.48046875
114, -10802.003900484648, False, 9.801227807998657, 480, 0.8931001648639156, 0, 59672, 20.17966079711914, 10615.9384765625
115, -11774.864905003109, False, 20.925410747528076, 1063, 0.8922070646990518, 0, 60734, 20.886743545532227, 10603.1298828125
116, -10977.75972514128, False, 15.0995614528656, 760, 0.8913148576343527, 0, 61493, 21.181440353393555, 10712.7255859375
