episode, reward, success, duration, n_steps, success_count, memory length, avg_critic_loss, avg_actor_loss
67, -1060.530213356018, False, 9.437655687332153, 334, 0, 29605, 0.42843809723854065, 1967.31396484375
68, -966.0713158845901, False, 13.238258838653564, 421, 0, 30025, 0.44838207960128784, 1969.513916015625
69, -936.5068867206573, False, 14.258848905563354, 497, 0, 30521, 0.5534198880195618, 1980.744140625
70, -859.2530287504196, False, 9.667444229125977, 306, 0, 30826, 0.42488837242126465, 1981.0751953125
71, -1000.3225339651108, False, 14.617269039154053, 497, 0, 31322, 0.5414419174194336, 1989.16650390625
72, -800.896849989891, False, 15.49298357963562, 497, 0, 31818, 0.48062217235565186, 1994.2845458984375
73, -1183.0189019441605, False, 15.09642744064331, 424, 0, 32241, 0.4946080446243286, 1992.056884765625
74, -1059.965903878212, False, 9.188310384750366, 419, 0, 32659, 0.5263943672180176, 2003.378173828125
75, -1017.2628964185715, False, 10.506890535354614, 497, 0, 33155, 0.42649227380752563, 2006.2606201171875
76, -1127.5877026319504, False, 8.505766153335571, 400, 0, 33554, 0.49287569522857666, 2016.420166015625
77, -1059.8351877331734, False, 8.874528884887695, 413, 0, 33966, 0.43724310398101807, 2018.0491943359375
78, -1077.8687547445297, False, 7.929370164871216, 373, 0, 34338, 0.4012574255466461, 2015.6636962890625
79, -1283.6481071710587, False, 9.351323366165161, 440, 0, 34777, 0.47057050466537476, 2018.062744140625
80, -1056.7662798166275, False, 9.250901937484741, 433, 0, 35209, 0.4674403667449951, 2018.310791015625
81, -507.56872683763504, False, 10.700861692428589, 497, 0, 35705, 0.3847261667251587, 2008.6514892578125
82, -966.051305770874, False, 10.595571041107178, 497, 0, 36201, 0.5683885812759399, 2008.4322509765625
83, -557.8971072435379, False, 10.76822805404663, 497, 0, 36697, 0.4908401668071747, 2004.6392822265625
84, -1217.3102238178253, False, 8.568627834320068, 399, 0, 37095, 0.5269367098808289, 2008.3406982421875
85, -631.5757565498352, False, 10.689486742019653, 497, 0, 37591, 0.5711339116096497, 2010.458251953125
86, -531.5079721212387, False, 10.722042798995972, 497, 0, 38087, 0.5473437309265137, 2002.7857666015625
87, -822.7665697336197, False, 10.701909065246582, 497, 0, 38583, 0.4001518487930298, 1993.741455078125
88, -648.0124169588089, False, 10.651061773300171, 497, 0, 39079, 0.46518513560295105, 2000.7874755859375
89, -811.6479709148407, False, 10.55157995223999, 497, 0, 39575, 0.5894466638565063, 2003.8548583984375
90, -906.4937601089478, False, 10.552512884140015, 497, 0, 40071, 0.476177841424942, 2009.947509765625
91, -813.385213971138, False, 10.554224491119385, 497, 0, 40567, 0.43060413002967834, 2014.4613037109375
92, -871.9067324399948, False, 10.88148045539856, 497, 0, 41063, 0.46254152059555054, 2020.7490234375
93, -716.1225636005402, False, 10.625688791275024, 497, 0, 41559, 0.3830735683441162, 2020.833740234375
94, -685.2946237325668, False, 10.679430723190308, 497, 0, 42055, 0.3732758164405823, 2017.5963134765625
95, -1016.408857345581, False, 10.789714574813843, 497, 0, 42551, 0.3548183739185333, 2019.9891357421875
96, -667.2466569542885, False, 10.659726858139038, 497, 0, 43047, 0.4340483546257019, 2024.80029296875
97, -991.9009795188904, False, 10.62852430343628, 497, 0, 43543, 0.3533758521080017, 2029.1766357421875
98, -995.5002699494362, False, 8.975524663925171, 418, 0, 43960, 0.4652482867240906, 2029.09716796875
99, -1017.7406702041626, False, 10.868739128112793, 497, 0, 44456, 0.37422072887420654, 2030.8060302734375
100, -648.4034571647644, False, 10.705948114395142, 497, 0, 44952, 0.5345779061317444, 2033.7919921875
101, -536.4826975464821, False, 10.632898330688477, 497, 0, 45448, 0.5115141868591309, 2034.306884765625
102, -1249.952325642109, False, 10.562455177307129, 493, 0, 45940, 0.4606013298034668, 2022.5352783203125
103, -900.5034157037735, False, 10.702165126800537, 497, 0, 46436, 0.45539358258247375, 2026.0960693359375
104, -700.0191408395767, False, 10.737115621566772, 497, 0, 46932, 0.4537581205368042, 2027.201416015625
105, -899.4925091266632, False, 10.597484111785889, 497, 0, 47428, 0.5059864521026611, 2028.0859375
106, -774.593541264534, False, 10.670569896697998, 497, 0, 47924, 0.4698483347892761, 2030.1624755859375
107, -908.8627371191978, False, 8.892571926116943, 411, 0, 48334, 0.48581942915916443, 2026.982666015625
108, -1006.4941350221634, False, 10.489870309829712, 497, 0, 48830, 0.42930132150650024, 2028.558349609375
109, -669.6065334677696, False, 10.644246816635132, 497, 0, 49326, 0.45808789134025574, 2025.684326171875
110, -1029.6230117082596, False, 8.334742546081543, 386, 0, 49711, 0.3790004551410675, 2025.6253662109375
111, -969.4876136779785, False, 10.623313188552856, 497, 0, 50207, 0.4096159040927887, 2030.2197265625
112, -1073.4303547143936, False, 9.23054575920105, 422, 0, 50628, 0.37946024537086487, 2027.7213134765625
