episode, reward, epsilon, success_count, memory length
1, 87.66627597808838, 1.0, 0, 100
2, -322.8861275911331, 0.99, 0, 402
3, -443.14051616191864, 0.9801, 0, 901
4, -282.83931115752785, 0.9702989999999999, 0, 1400
5, -467.0993508696556, 0.96059601, 0, 1884
6, -90.11616481747478, 0.9509900498999999, 0, 2383
7, 18.289789229631424, 0.9414801494009999, 0, 2466
8, -260.3229261934757, 0.9320653479069899, 0, 2759
9, -45.048335798084736, 0.92274469442792, 0, 2818
