episode, reward, n_steps, epsilon, success_count, memory length
1, -251.94951920118183, 426, 1.0, 0, 425
2, 47.64810449257493, 403, 0.99, 0, 827
3, -552.7976829409599, 500, 0.9801, 0, 1326
4, -374.1650281995535, 500, 0.9702989999999999, 0, 1825
5, -491.6831125020981, 500, 0.96059601, 0, 2324
6, -382.21957713365555, 441, 0.9509900498999999, 0, 2764
7, -284.05773635953665, 500, 0.9414801494009999, 0, 3263
8, -248.3069868683815, 500, 0.9320653479069899, 0, 3762
9, 6.963041082024574, 16, 0.92274469442792, 0, 3777
10, -11.683085471391678, 20, 0.9135172474836407, 0, 3796
11, -91.62645701132715, 110, 0.9043820750088043, 0, 3905
12, -34.057043466717005, 55, 0.8953382542587163, 0, 3959
13, -17.59527498483658, 24, 0.8863848717161291, 0, 3982
14, 8.803739756345749, 7, 0.8775210229989678, 0, 3988
15, -5.962919099256396, 30, 0.8687458127689781, 0, 4017
16, -20.19336306862533, 49, 0.8600583546412883, 0, 4065
17, 2.970473116263747, 16, 0.8514577710948754, 0, 4080
18, -44.45978333055973, 45, 0.8429431933839266, 0, 4124
19, -77.86678126454353, 60, 0.8345137614500874, 0, 4183
20, 8.424553394317627, 25, 0.8261686238355865, 0, 4207
21, -11.346732810139656, 24, 0.8179069375972307, 0, 4230
22, 3.0870432616211474, 51, 0.8097278682212583, 0, 4280
23, -70.0730529082939, 82, 0.8016305895390458, 0, 4361
25, -37.73558256030083, 50, 0.7856781408072188, 0, 4410
26, 9.583063811762258, 14, 0.7778213593991465, 0, 4423
27, -18.736611623317003, 42, 0.7700431458051551, 0, 4464
28, -16.042722702026367, 29, 0.7623427143471035, 0, 4492
29, -1.6183093134313822, 63, 0.7547192872036325, 0, 4554
30, -5.1250778920948505, 23, 0.7471720943315961, 0, 4576
31, -18.135835682973266, 49, 0.7397003733882802, 0, 4624
32, 4.59258034452796, 35, 0.7323033696543974, 0, 4658
33, -24.214460911229253, 50, 0.7249803359578534, 0, 4707
34, -10.613247267901897, 28, 0.7177305325982748, 0, 4734
35, -29.75566828250885, 37, 0.7105532272722921, 0, 4770
36, -1.6173877641558647, 24, 0.7034476949995692, 0, 4793
37, 8.199764296761714, 48, 0.6964132180495735, 0, 4840
38, -21.402046068571508, 66, 0.6894490858690777, 0, 4905
39, 8.50074314698577, 27, 0.682554595010387, 0, 4931
40, 2.5753137171268463, 6, 0.6757290490602831, 0, 4936
41, 5.5769878923892975, 11, 0.6689717585696803, 0, 4946
42, -16.71984472917393, 51, 0.6622820409839835, 0, 4996
43, -15.334420967847109, 50, 0.6556592205741436, 0, 5045
44, 0.051472388207912445, 37, 0.6491026283684022, 0, 5081
45, 6.989975545555353, 5, 0.6426116020847181, 0, 5085
46, -48.54963096510619, 143, 0.6361854860638709, 0, 5227
47, 3.040182664990425, 11, 0.6298236312032323, 0, 5237
48, -16.153479143977165, 29, 0.6235253948912, 0, 5265
49, 9.342199563980103, 8, 0.617290140942288, 0, 5272
50, -51.639749832917005, 76, 0.6111172395328651, 0, 5347
51, -1.8199326880276203, 22, 0.6050060671375365, 0, 5368
52, 1.3878807239234447, 73, 0.5989560064661611, 0, 5440
53, -32.996747891942505, 44, 0.5929664464014994, 0, 5483
54, 3.709359183907509, 8, 0.5870367819374844, 0, 5490
55, -40.818745505064726, 50, 0.5811664141181095, 0, 5539
56, -0.9776707340934081, 26, 0.5753547499769285, 0, 5564
57, -10.830338455736637, 22, 0.5696012024771592, 0, 5585
58, -28.925025045871735, 99, 0.5639051904523876, 0, 5683
59, -9.965944580733776, 52, 0.5582661385478638, 0, 5734
60, -10.448969401419163, 25, 0.5526834771623851, 0, 5758
61, -10.880216320045292, 87, 0.5471566423907612, 0, 5844
62, -15.823756083846092, 33, 0.5416850759668536, 0, 5876
63, -57.90855407714844, 60, 0.536268225207185, 0, 5935
64, 7.6107417941093445, 3, 0.5309055429551132, 0, 5937
65, -3.6426327228546143, 21, 0.525596487525562, 0, 5957
66, -5.784831614233553, 22, 0.5203405226503064, 0, 5978
67, -16.127013690769672, 47, 0.5151371174238033, 0, 6024
68, -21.48125644773245, 24, 0.5099857462495653, 0, 6047
69, -3.770001471042633, 12, 0.5048858887870696, 0, 6058
70, -22.673259105940815, 53, 0.4998370298991989, 0, 6110
71, -7.674580812454224, 55, 0.49483865960020695, 0, 6164
72, 3.5609773844480515, 23, 0.4898902730042049, 0, 6186
73, -7.078377831727266, 25, 0.48499137027416284, 0, 6210
74, -39.76987957954407, 48, 0.4801414565714212, 0, 6257
75, -28.28170343581587, 74, 0.475340042005707, 0, 6330
76, -30.023099986370653, 148, 0.47058664158564995, 0, 6477
77, -43.63621481554583, 146, 0.4658807751697934, 0, 6622
78, -19.974245488643646, 44, 0.4612219674180955, 0, 6665
79, -24.39557546065771, 106, 0.45660974774391455, 0, 6770
80, -24.645729891955853, 60, 0.4520436502664754, 0, 6829
81, -10.755910038948059, 26, 0.44752321376381066, 0, 6854
82, -36.449646902270615, 82, 0.44304798162617254, 0, 6935
83, -203.4611307522282, 236, 0.4386175018099108, 0, 7170
84, -19.164227897301316, 44, 0.4342313267918117, 0, 7213
85, -6.954775296151638, 27, 0.4298890135238936, 0, 7239
86, -63.404404025524855, 136, 0.42559012338865465, 0, 7374
87, -16.956022083759308, 21, 0.4213342221547681, 0, 7394
88, -71.05811529513448, 119, 0.41712087993322045, 0, 7512
89, -5.355648498982191, 25, 0.41294967113388825, 0, 7536
90, 0.45526571571826935, 55, 0.40882017442254937, 0, 7590
91, 8.613305807113647, 9, 0.4047319726783239, 0, 7598
92, -32.888645239174366, 47, 0.40068465295154065, 0, 7644
