episode, reward, success, duration, n_steps, success_count, memory length, avg_critic_loss, avg_actor_loss
54, -855.0766912400723, False, 24.095410585403442, 497, 0, 20658, 1.45216703414917, 6581.63037109375
55, -1648.049015790224, False, 23.766797304153442, 487, 0, 21144, 1.4842902421951294, 6639.97412109375
56, -1589.7335193008184, False, 24.048616886138916, 489, 0, 21632, 1.4122315645217896, 6703.6201171875
57, -1524.3964811116457, False, 21.461947679519653, 437, 0, 22068, 1.3025436401367188, 6688.98974609375
58, -1518.233751103282, False, 21.720963954925537, 448, 0, 22515, 1.3935136795043945, 6741.0712890625
59, -784.5940503180027, False, 24.228768587112427, 497, 0, 23011, 1.5206878185272217, 6771.439453125
60, -1538.5783728659153, False, 23.04462504386902, 473, 0, 23483, 1.4908757209777832, 6778.07861328125
61, -843.9611791074276, False, 24.077521562576294, 497, 0, 23979, 1.3942105770111084, 6830.46142578125
62, -1592.6226544678211, False, 23.12234401702881, 480, 0, 24458, 1.4811619520187378, 6840.94189453125
63, -1658.4697243273258, False, 22.730563402175903, 475, 0, 24932, 1.4218933582305908, 6900.06201171875
64, -860.3856738656759, False, 23.925847053527832, 497, 0, 25428, 1.5460156202316284, 6920.2060546875
65, -1634.0141263455153, False, 23.255444049835205, 476, 0, 25903, 1.3914657831192017, 6945.615234375
66, -819.8649630993605, False, 23.972804307937622, 497, 0, 26399, 1.4099961519241333, 6975.99560546875
67, -1624.6962982416153, False, 22.543565273284912, 468, 0, 26866, 1.2928621768951416, 7031.595703125
68, -1532.500253200531, False, 21.833613634109497, 456, 0, 27321, 1.3340719938278198, 7013.93896484375
69, -838.532750800252, False, 26.269545555114746, 497, 0, 27817, 1.3689115047454834, 7059.9541015625
70, -941.7274072766304, False, 22.607419967651367, 497, 0, 28313, 1.338334560394287, 7076.93603515625
71, -1685.3573581576347, False, 22.671109676361084, 496, 0, 28808, 1.3949534893035889, 7131.40185546875
72, -1539.0699947923422, False, 22.05158042907715, 487, 0, 29294, 1.3146307468414307, 7145.36083984375
73, -858.9096135646105, False, 22.325111865997314, 497, 0, 29790, 1.2657487392425537, 7164.22705078125
74, -1553.7248698771, False, 21.7607901096344, 484, 0, 30273, 1.2685621976852417, 7199.73974609375
75, -894.0721518993378, False, 22.41162657737732, 497, 0, 30769, 1.3829292058944702, 7211.744140625
76, -1642.6430872529745, False, 22.89611315727234, 497, 0, 31265, 1.361251711845398, 7206.11669921875
