episode, reward, duration, n_steps, epsilon, success_count, memory length
5201, 406.9878433942795, 1.7944414615631104, 71, 0.04996170339735633, 0, 100000
5202, -2076.1574961543083, 23.10163187980652, 932, 0.04996170339735633, 0, 100000
5203, -1951.0919459462166, 28.672829627990723, 1151, 0.04996170339735633, 0, 100000
5204, -2391.0971153378487, 6.919016599655151, 278, 0.04996170339735633, 0, 100000
5205, -179.41699707508087, 10.355474948883057, 414, 0.04996170339735633, 0, 100000
5206, -1771.6769028902054, 27.223471641540527, 1101, 0.04996170339735633, 0, 100000
5207, -1852.9310801029205, 2.4506301879882812, 80, 0.04996170339735633, 0, 100000
5208, 182.77395284175873, 5.116124629974365, 206, 0.04996170339735633, 0, 100000
5209, -3108.878329873085, 13.1095552444458, 527, 0.04996170339735633, 0, 100000
5210, -4059.7218609452248, 25.138766527175903, 1013, 0.04996170339735633, 0, 100000
5211, -1255.0132719278336, 23.162084341049194, 933, 0.04996170339735633, 0, 100000
5212, -3300.8968952298164, 15.108612537384033, 616, 0.04996170339735633, 0, 100000
5213, -2360.484391748905, 18.70478653907776, 762, 0.04996170339735633, 0, 100000
5214, -2477.6116728782654, 6.808671951293945, 256, 0.04996170339735633, 0, 100000
5215, -26.704890727996826, 9.408734560012817, 382, 0.04996170339735633, 0, 100000
5216, -2111.5951330065727, 27.872823238372803, 1135, 0.04996170339735633, 0, 100000
5217, -2130.5710597634315, 5.975939989089966, 211, 0.04996170339735633, 0, 100000
5218, -5601.396263122559, 18.89558172225952, 767, 0.04996170339735633, 0, 100000
5219, -8141.971368074417, 30.772225856781006, 1253, 0.04996170339735633, 0, 100000
5220, 131.27689844369888, 5.36053729057312, 212, 0.04996170339735633, 0, 100000
5221, -3233.1857536435127, 29.439450979232788, 1197, 0.04996170339735633, 0, 100000
5222, -2568.2784746289253, 10.416247844696045, 412, 0.04996170339735633, 0, 100000
5223, -1911.7741904854774, 16.901710987091064, 675, 0.04996170339735633, 0, 100000
5224, -2818.8152594566345, 7.559680461883545, 346, 0.04996170339735633, 0, 100000
5225, -2370.9170526862144, 4.939111709594727, 231, 0.04996170339735633, 0, 100000
5226, -7682.254704236984, 33.843344926834106, 1498, 0.04996170339735633, 0, 100000
5227, -5601.99807035923, 16.8724102973938, 784, 0.04996170339735633, 0, 100000
5228, -133.68403381109238, 9.523366689682007, 438, 0.04996170339735633, 0, 100000
5229, -2562.101530134678, 6.912099838256836, 320, 0.04996170339735633, 0, 100000
5230, -2069.1470631957054, 4.07294774055481, 182, 0.04996170339735633, 0, 100000
5231, -345.7333717942238, 13.773246049880981, 560, 0.04996170339735633, 0, 100000
5232, -220.6643562912941, 8.580166578292847, 359, 0.04996170339735633, 0, 100000
5233, -2415.7816650271416, 10.410339117050171, 476, 0.04996170339735633, 0, 100000
5234, 253.62220495939255, 4.151831388473511, 190, 0.04996170339735633, 0, 100000
5235, -7018.752633094788, 32.0791015625, 1494, 0.04996170339735633, 0, 100000
5236, 318.2892436981201, 4.173561096191406, 159, 0.04996170339735633, 0, 100000
5237, -418.08523947000504, 9.674673557281494, 441, 0.04996170339735633, 0, 100000
5238, -2321.9971611499786, 6.532361268997192, 299, 0.04996170339735633, 0, 100000
5239, -2421.1282930374146, 5.245541095733643, 239, 0.04996170339735633, 0, 100000
5240, -4686.4134747982025, 14.318818092346191, 667, 0.04996170339735633, 0, 100000
5241, -7912.029036939144, 25.87005114555359, 1194, 0.04996170339735633, 0, 100000
5242, -43.23996275663376, 9.340312242507935, 400, 0.04996170339735633, 0, 100000
5243, -3351.669766843319, 9.147324800491333, 415, 0.04996170339735633, 0, 100000
5244, -6438.440777897835, 20.20689582824707, 930, 0.04996170339735633, 0, 100000
5245, -6975.76506626606, 32.068045139312744, 1498, 0.04996170339735633, 0, 100000
5246, -3186.287648022175, 9.189531564712524, 429, 0.04996170339735633, 0, 100000
5247, -2477.3856328725815, 5.894798517227173, 274, 0.04996170339735633, 0, 100000
5248, -2162.4405529499054, 4.408348798751831, 203, 0.04996170339735633, 0, 100000
5249, -7791.468822777271, 32.52293133735657, 1498, 0.04996170339735633, 0, 100000
5250, -448.71426343917847, 13.492571115493774, 623, 0.04996170339735633, 0, 100000
5251, -1924.276826262474, 3.2753560543060303, 145, 0.04996170339735633, 0, 100000
5252, -418.51035392284393, 13.66011357307434, 621, 0.04996170339735633, 0, 100000
5253, -2186.491097152233, 8.120410203933716, 375, 0.04996170339735633, 0, 100000
