episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
34, -8567.579836845398, 2, 0, 1338, 40368, 65368, 3.3768086433410645, 14.117082595825195
35, -6262.560120582581, 2, 0, 869, 41237, 66237, 3.4124979972839355, 14.390837669372559
36, -8155.274830579758, 2, 0, 1310, 42547, 67547, 3.375957489013672, 14.590095520019531
37, -4457.191845059395, 2, 0, 845, 43392, 68392, 3.233776092529297, 14.799586296081543
38, -9247.783237338066, 2, 0, 1363, 44755, 69755, 3.716843843460083, 14.904170989990234
39, -6006.749098420143, 2, 0, 1290, 46045, 71045, 3.558518886566162, 15.118769645690918
40, -5769.35704267025, 2, 0, 1285, 47330, 72330, 3.5540611743927, 15.281590461730957
41, -6392.565155982971, 3, 0, 1123, 48453, 73453, 3.668804883956909, 15.512436866760254
42, 1331.8965004086494, 1, 10, 943, 49396, 74396, 3.490654468536377, 15.601076126098633
43, -4349.683722257614, 2, -10, 351, 49747, 74747, 3.207221508026123, 15.679118156433105
44, -4477.0492532253265, 2, 0, 848, 50595, 75595, 3.4508957862854004, 15.828742027282715
45, -5357.04543274641, 2, 0, 1275, 51870, 76870, 3.6496567726135254, 15.909198760986328
46, -6288.4749990701675, 2, 0, 1263, 53133, 78133, 3.5938868522644043, 16.171350479125977
47, -7734.484489440918, 2, 0, 1255, 54388, 79388, 3.5555291175842285, 16.376375198364258
48, 2080.444951891899, 1, 4, 392, 54780, 79780, 3.4814982414245605, 16.618623733520508
49, -4821.173688650131, 2, -4, 950, 55730, 80730, 3.776364803314209, 16.68038558959961
50, -9549.733654975891, 2, 0, 1065, 56795, 81795, 3.81246280670166, 16.909400939941406
51, -5833.450189232826, 2, 0, 1253, 58048, 83048, 3.7464663982391357, 17.172401428222656
52, -7835.299516201019, 2, 0, 1268, 59316, 84316, 3.802400588989258, 17.38566017150879
53, -5254.950250148773, 2, 0, 861, 60177, 85177, 3.771144151687622, 17.618839263916016
54, -4571.581743836403, 2, 0, 859, 61036, 86036, 3.8689935207366943, 17.681217193603516
55, -6388.940273523331, 2, 0, 834, 61870, 86870, 3.8734116554260254, 17.82309341430664
56, -5935.531315922737, 2, 0, 1266, 63136, 88136, 3.6773123741149902, 18.060829162597656
57, -4554.987348794937, 2, 9, 838, 63974, 88974, 3.8159375190734863, 18.166820526123047
58, -5539.776284337044, 2, -9, 1271, 65245, 90245, 3.7197084426879883, 18.289716720581055
59, -7767.962908983231, 2, 0, 1292, 66537, 91537, 3.6255688667297363, 18.485027313232422
60, -4810.852225065231, 2, 0, 883, 67420, 92420, 3.586236000061035, 18.67220687866211
