episode, reward, duration, n_steps, epsilon, success_count, memory length, avg_critic_loss, avg_actor_loss
5601, 5796.9306213893, 2.335932731628418, 104, 0.04996170339735633, 0, 100000, 18.734142303466797, -104458.2421875
5602, -4249.322530288249, 9.39550232887268, 453, 0.04996170339735633, 0, 100000, 18.85934066772461, -104308.2421875
5603, -3808.7840012833476, 5.06572151184082, 251, 0.04996170339735633, 0, 100000, 19.40236473083496, -104399.15625
5604, 5150.962907592766, 9.952614545822144, 473, 0.04996170339735633, 0, 100000, 19.450902938842773, -104285.109375
5605, -5611.485419540666, 8.821630954742432, 446, 0.04996170339735633, 0, 100000, 19.18802261352539, -103242.984375
5606, -4143.492925034836, 9.252225160598755, 461, 0.04996170339735633, 0, 100000, 19.984956741333008, -103164.0703125
5607, -3984.258251560619, 7.709196329116821, 385, 0.04996170339735633, 0, 100000, 19.645383834838867, -102057.6484375
5608, 5494.314152708277, 5.219666242599487, 251, 0.04996170339735633, 0, 100000, 19.24974250793457, -101714.390625
5609, -4647.380737327039, 10.595126867294312, 529, 0.04996170339735633, 0, 100000, 18.959293365478516, -102339.703125
5610, -3929.2991444598883, 7.227646350860596, 354, 0.04996170339735633, 0, 100000, 20.0385684967041, -101439.03125
5611, -3542.5374913066626, 3.1659061908721924, 156, 0.04996170339735633, 0, 100000, 19.817779541015625, -100275.109375
5612, -4306.183346137404, 8.385959386825562, 419, 0.04996170339735633, 0, 100000, 19.662866592407227, -100829.640625
5613, -4108.671704452485, 8.501031875610352, 430, 0.04996170339735633, 0, 100000, 18.000131607055664, -100053.0390625
5614, -4135.616084486246, 7.729272842407227, 378, 0.04996170339735633, 0, 100000, 19.295154571533203, -99602.578125
5615, 5187.428393311799, 9.546170949935913, 481, 0.04996170339735633, 0, 100000, 19.500085830688477, -98961.203125
5616, -3789.9645200259984, 4.451181173324585, 214, 0.04996170339735633, 0, 100000, 18.832435607910156, -98781.6171875
5617, 5286.352450557519, 9.186875104904175, 450, 0.04996170339735633, 0, 100000, 19.92702865600586, -97811.6015625
5618, 5992.879646956921, 2906.0192148685455, 4, 0.04996170339735633, 0, 100000, 11.072019577026367, -76603.359375
