episode, reward, success, duration, n_steps, epsilon, success_count, memory length, avg_critic_loss, avg_actor_loss
14031, 7244.031007185578, True, 16.36135721206665, 914, 0.04996170339735633, 0, 100000, 36.18456268310547, -222707.40625
14032, 7312.027582664043, True, 16.045250177383423, 904, 0.04996170339735633, 0, 100000, 36.61030578613281, -221819.953125
14033, -12490.036291241646, False, 5.338531732559204, 295, 0.04996170339735633, 0, 100000, 35.75392150878906, -220810.1875
14034, 8010.498947042972, True, 14.812028169631958, 793, 0.04996170339735633, 0, 100000, 36.2401008605957, -220473.484375
14035, 8450.068159371614, True, 9.307404279708862, 518, 0.04996170339735633, 0, 100000, 35.71324920654297, -220952.984375
14036, 8693.710344821215, True, 9.057560205459595, 493, 0.04996170339735633, 0, 100000, 37.24024963378906, -219874.28125
14037, 5696.616563767195, True, 16.857043027877808, 935, 0.04996170339735633, 0, 100000, 36.036258697509766, -220682.53125
14038, 5786.501875936985, True, 20.28378415107727, 1155, 0.04996170339735633, 0, 100000, 36.164608001708984, -219388.21875
14039, -11782.931746646762, False, 4.192220211029053, 231, 0.04996170339735633, 0, 100000, 36.41184616088867, -217092.0625
14040, 7654.608204705641, True, 13.609639883041382, 744, 0.04996170339735633, 0, 100000, 36.68247985839844, -218638.53125
14041, -12566.250261068344, False, 4.709927558898926, 263, 0.04996170339735633, 0, 100000, 36.201595306396484, -217610.34375
14042, 9430.74607784301, True, 9.176212072372437, 494, 0.04996170339735633, 0, 100000, 36.03806686401367, -217147.96875
14043, -15642.06510257721, False, 10.49347448348999, 588, 0.04996170339735633, 0, 100000, 36.62929916381836, -217118.9375
14044, 6221.860918711871, True, 14.9042649269104, 838, 0.04996170339735633, 0, 100000, 37.239410400390625, -215032.328125
14045, 4852.566524460912, True, 24.528496265411377, 1389, 0.04996170339735633, 0, 100000, 36.24391174316406, -214669.96875
14046, 2443.930607113987, True, 26.131741046905518, 1518, 0.04996170339735633, 0, 100000, 36.606483459472656, -212167.609375
14047, 6459.931752469391, True, 18.10898780822754, 1019, 0.04996170339735633, 0, 100000, 35.56629943847656, -209528.421875
14048, 6059.192217230797, True, 16.017690658569336, 869, 0.04996170339735633, 0, 100000, 36.165470123291016, -207605.90625
14049, -17609.115783212706, False, 20.251899242401123, 1102, 0.04996170339735633, 0, 100000, 35.45714569091797, -206648.53125
14050, 8111.519642561674, True, 13.000245571136475, 711, 0.04996170339735633, 0, 100000, 37.32839584350586, -205572.078125
14051, 5314.953506231308, True, 16.565908908843994, 892, 0.04996170339735633, 0, 100000, 35.75546646118164, -205873.5625
14052, 8806.272404745221, True, 10.856372833251953, 594, 0.04996170339735633, 0, 100000, 35.624210357666016, -204927.453125
14053, 7075.354605823755, True, 11.586488008499146, 604, 0.04996170339735633, 0, 100000, 35.72865676879883, -204153.234375
14054, 4708.185170531273, True, 18.20362901687622, 1002, 0.04996170339735633, 0, 100000, 36.62617111206055, -202799.5625
14055, 5763.829171270132, True, 15.072335243225098, 852, 0.04996170339735633, 0, 100000, 36.25293731689453, -201958.421875
14056, -18592.25219964981, False, 18.44109082221985, 1018, 0.04996170339735633, 0, 100000, 36.137481689453125, -200984.96875
14057, 8749.170271474868, True, 10.86174464225769, 597, 0.04996170339735633, 0, 100000, 36.92112731933594, -200648.140625
14058, 2615.8368208259344, True, 25.15136981010437, 1388, 0.04996170339735633, 0, 100000, 36.963966369628906, -198074.671875
14059, 5613.959348878823, True, 18.852320432662964, 1080, 0.04996170339735633, 0, 100000, 36.53078079223633, -195669.84375
14060, 9672.433481425047, True, 8.279222965240479, 466, 0.04996170339735633, 0, 100000, 36.54851531982422, -195417.78125
14061, -11291.203379154205, False, 2.1656084060668945, 106, 0.04996170339735633, 0, 100000, 33.81949996948242, -194620.75
14062, -14210.12305355072, False, 10.14380145072937, 545, 0.04996170339735633, 0, 100000, 36.120880126953125, -195269.390625
14063, 7882.758091151714, True, 12.258896589279175, 688, 0.04996170339735633, 0, 100000, 37.04293441772461, -193351.390625
14064, -12784.945986151695, False, 4.934201955795288, 269, 0.04996170339735633, 0, 100000, 38.2061653137207, -191441.21875
14065, 6537.796963006258, True, 13.465579509735107, 724, 0.04996170339735633, 0, 100000, 37.76405334472656, -192382.234375
