episode, reward, success, duration, n_steps, memory length, avg_critic_loss, avg_actor_loss
1, 1957.1123355031013, 1, 3.2968461513519287, 199, 197, 0.20704488456249237, 99.69881439208984
2, -2588.6792101860046, 3, 14.545461416244507, 198, 393, 7.936586380004883, 229.33168029785156
3, -3907.30312871933, 2, 12.179035186767578, 354, 745, 8.527823448181152, 385.5875244140625
4, -3589.1148521900177, 2, 12.611121416091919, 437, 1180, 7.209667682647705, 624.8446655273438
5, -3281.2841032743454, 2, 12.484068155288696, 392, 1570, 6.034125328063965, 733.9815063476562
6, -2607.236432671547, 2, 5.159579277038574, 171, 1739, 5.680926322937012, 797.3715209960938
7, 2292.858017385006, 1, 4.476999759674072, 144, 1881, 5.9411187171936035, 825.7042846679688
8, -2995.4935718774796, 2, 7.854040861129761, 272, 2151, 8.16569995880127, 867.5955200195312
9, -2696.2366206645966, 2, 8.226736545562744, 190, 2339, 7.026749610900879, 949.1605834960938
10, -5180.144048690796, 2, 26.293669939041138, 688, 3025, 7.588627815246582, 1103.115234375
11, -5341.035911202431, 2, 13.259394884109497, 488, 3511, 7.67835807800293, 1372.6934814453125
12, -3784.6635286808014, 2, 14.372307777404785, 414, 3923, 6.435818195343018, 1556.45849609375
13, -5233.604217171669, 3, 35.47795128822327, 676, 4597, 5.903904914855957, 1796.8846435546875
14, -3777.475631713867, 2, 9.866539001464844, 266, 4861, 7.478297233581543, 1995.724853515625
15, -2680.8757565021515, 2, 5.825824499130249, 180, 5039, 7.193226337432861, 2060.591552734375
16, -3651.9970982074738, 2, 13.423439502716064, 372, 5409, 5.843520164489746, 2167.70068359375
17, -3431.999973297119, 2, 11.288366794586182, 250, 5657, 6.33437442779541, 2347.29150390625
18, -2671.4492334127426, 3, 10.742985248565674, 255, 5910, 5.759305000305176, 2432.185302734375
19, -3079.199484348297, 2, 11.5672607421875, 171, 6079, 6.254560947418213, 2484.65966796875
20, -3722.120594024658, 2, 15.29984450340271, 376, 6453, 6.284203052520752, 2581.83251953125
21, -3306.5116674900055, 2, 12.349556922912598, 243, 6694, 7.076593399047852, 2722.78564453125
22, -4485.756877422333, 2, 17.506978273391724, 454, 7146, 6.256652355194092, 2853.079345703125
23, -5154.896365880966, 2, 12.711945533752441, 412, 7556, 6.4165263175964355, 3078.24755859375
24, -2776.797753095627, 2, 5.905564546585083, 210, 7764, 7.1455397605896, 3268.603271484375
25, -3756.0824239254, 2, 8.716477394104004, 285, 8047, 6.786373615264893, 3332.84521484375
26, -2982.327683568001, 2, 13.173469543457031, 274, 8319, 8.039932250976562, 3470.97021484375
27, -3092.5653178691864, 2, 9.069247961044312, 156, 8473, 6.181836128234863, 3487.703857421875
28, -2932.4103343486786, 2, 8.295546770095825, 222, 8693, 6.813899040222168, 3600.268798828125
29, -3346.152939081192, 2, 12.47264313697815, 209, 8900, 7.6011271476745605, 3713.041748046875
30, -3238.413582086563, 2, 6.008321523666382, 220, 9118, 6.933396816253662, 3833.6064453125
31, -3756.146742105484, 2, 10.268402099609375, 252, 9368, 7.512933254241943, 3953.529296875
32, -4002.9956615567207, 2, 8.74387812614441, 210, 9576, 7.787510871887207, 4075.72802734375
33, -5153.939212799072, 4, 29.575652837753296, 998, 10572, 7.191245079040527, 4475.28955078125
34, -6943.713639974594, 2, 15.256972312927246, 566, 11136, 7.528337478637695, 4940.23974609375
35, -5852.686720967293, 2, 32.91533041000366, 852, 11986, 6.553929328918457, 5307.41552734375
36, -2840.78933095932, 2, 6.034751892089844, 178, 12162, 7.502331733703613, 5557.7451171875
37, -4657.087886214256, 2, 23.53911328315735, 496, 12656, 5.897446155548096, 5704.6123046875
38, -3904.713278770447, 2, 8.32958173751831, 275, 12929, 6.7234954833984375, 5856.72802734375
39, -2946.954692363739, 2, 10.402974367141724, 246, 13173, 6.4533867835998535, 6024.20751953125
40, -2965.6151710748672, 2, 5.965331315994263, 184, 13355, 7.418948650360107, 6140.1123046875
41, -6695.588173627853, 2, 29.497236013412476, 748, 14101, 6.902653694152832, 6411.97607421875
42, -3080.24558031559, 2, 8.381859302520752, 268, 14367, 5.510616779327393, 6631.595703125
43, -2915.812309026718, 2, 6.5184245109558105, 239, 14604, 6.498764991760254, 6731.8916015625
44, -3986.362935066223, 2, 6.317394971847534, 236, 14838, 6.016907215118408, 6826.86181640625
45, 2228.187819123268, 1, 4.402993202209473, 164, 15000, 6.886894226074219, 6919.33447265625
46, -6258.503314733505, 2, 18.059293270111084, 658, 15656, 7.45090913772583, 7214.30322265625
47, -3549.9960862398148, 2, 13.177956819534302, 484, 16138, 7.84700345993042, 7639.70263671875
48, -6242.8505029678345, 2, 21.866441249847412, 745, 16881, 6.986724853515625, 7901.224609375
49, -3652.517740011215, 2, 6.286714792251587, 241, 17120, 7.50230598449707, 8240.2353515625
50, -3318.841710329056, 2, 9.470316886901855, 349, 17467, 7.079380035400391, 8349.990234375
51, 2304.6040173768997, 1, 4.513815402984619, 166, 17631, 6.756814479827881, 8523.8505859375
52, -6729.80124104023, 2, 16.20513367652893, 591, 18220, 7.404003620147705, 8730.2333984375
53, -6256.183872580528, 2, 26.397037744522095, 909, 19127, 7.55464506149292, 9190.26171875
54, -4066.511792898178, 2, 6.411745309829712, 244, 19369, 7.379082202911377, 9509.6201171875
55, -3309.914304494858, 3, 9.53925371170044, 351, 19718, 6.932635307312012, 9734.4697265625
56, -4472.504342019558, 2, 16.269232511520386, 586, 20302, 7.266362190246582, 10025.7880859375
