episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -2499.325712442398, 2, 4, 111, 180, 25180, 5.817870616912842, 9.97741985321045
2, -2915.578741312027, 2, 9, 209, 389, 25389, 5.6496968269348145, 10.001019477844238
3, 2381.238436996937, 1, 3, 98, 487, 25487, 5.348234176635742, 10.003474235534668
4, -4633.712313890457, 2, 10, 246, 733, 25733, 5.25842809677124, 10.068294525146484
5, -2384.853123009205, 2, 4, 109, 842, 25842, 5.493128299713135, 10.246670722961426
6, -3377.6588648557663, 2, 10, 240, 1082, 26082, 6.084511756896973, 10.25256061553955
7, -2972.0973727703094, 3, 9, 202, 1284, 26284, 5.567961692810059, 10.367195129394531
8, -3502.825754880905, 2, 14, 333, 1617, 26617, 5.900753498077393, 10.430462837219238
9, -3796.1872425079346, 2, 14, 324, 1941, 26941, 5.646081924438477, 10.590235710144043
10, -2514.9993147850037, 2, 6, 138, 2079, 27079, 5.617350101470947, 10.77315616607666
11, -2632.5206792354584, 2, 4, 109, 2188, 27188, 5.480090141296387, 10.84036922454834
12, -3413.7223448753357, 2, 13, 329, 2517, 27517, 5.644400119781494, 10.827869415283203
13, -2651.0037528276443, 3, 9, 206, 2723, 27723, 5.381113529205322, 10.976107597351074
14, 2400.649103343487, 1, 4, 101, 2824, 27824, 5.459263801574707, 10.984378814697266
15, -3343.1002175807953, 2, 11, 264, 3088, 28088, 5.753872871398926, 11.04235553741455
16, -2827.165020465851, 2, 6, 150, 3238, 28238, 5.962426662445068, 11.1265287399292
17, -4127.928124666214, 2, 20, 486, 3724, 28724, 5.845113277435303, 11.28978157043457
18, -3135.0458199977875, 2, 13, 319, 4043, 29043, 6.038323402404785, 11.479031562805176
19, -2720.500619649887, 2, 9, 215, 4258, 29258, 6.232008457183838, 11.527339935302734
20, -3001.490774035454, 2, 13, 318, 4576, 29576, 5.946694850921631, 11.584723472595215
21, -4689.883477687836, 2, 20, 461, 5037, 30037, 5.7761406898498535, 11.725876808166504
22, -4466.911387681961, 2, 18, 445, 5482, 30482, 6.0549139976501465, 11.981328010559082
23, -3190.300352334976, 2, 14, 317, 5799, 30799, 6.031891345977783, 12.059078216552734
24, -2669.387236714363, 2, 8, 221, 6020, 31020, 5.933499336242676, 12.184812545776367
25, -2428.084995031357, 2, 5, 121, 6141, 31141, 6.224514961242676, 12.24782943725586
26, -3502.104731321335, 2, 11, 276, 6417, 31417, 6.138156890869141, 12.293458938598633
27, -3234.1881771087646, 2, 12, 274, 6691, 31691, 6.1428632736206055, 12.432024002075195
28, -3577.22978746891, 2, 11, 265, 6956, 31956, 6.006806373596191, 12.584741592407227
29, -2787.615142941475, 2, 6, 152, 7108, 32108, 6.3275651931762695, 12.627676963806152
30, -2630.9325437545776, 2, 4, 110, 7218, 32218, 6.1212639808654785, 12.72915267944336
31, -3800.5915360450745, 2, 13, 329, 7547, 32547, 5.95149564743042, 12.792262077331543
32, -3799.2796617746353, 2, 19, 453, 8000, 33000, 6.040120601654053, 12.938092231750488
33, -2737.202026605606, 2, 5, 132, 8132, 33132, 6.1512131690979, 13.037053108215332
34, -2620.0275608301163, 2, 5, 131, 8263, 33263, 6.561981201171875, 13.085355758666992
35, -3746.782002210617, 2, 10, 382, 8645, 33645, 6.104275703430176, 13.174792289733887
36, -4412.013776779175, 2, 20, 471, 9116, 34116, 6.326793670654297, 13.399768829345703
37, -2665.72504812479, 3, 9, 216, 9332, 34332, 6.448812007904053, 13.56330680847168
38, -3779.362040877342, 2, 10, 251, 9583, 34583, 6.424693584442139, 13.673517227172852
39, -3447.608040332794, 2, 13, 323, 9906, 34906, 6.22406005859375, 13.802475929260254
40, -2760.0852209329605, 2, 9, 217, 10123, 35123, 6.129074573516846, 13.90827751159668
41, -2947.9735169410706, 2, 8, 194, 10317, 35317, 6.001624584197998, 13.915847778320312
42, -3270.7817318439484, 2, 16, 392, 10709, 35709, 6.245387077331543, 14.01965618133545
43, -2846.60271191597, 2, 9, 221, 10930, 35930, 6.2989630699157715, 14.129538536071777
44, -2825.9111377596855, 2, 15, 352, 11282, 36282, 6.373327732086182, 14.211438179016113
45, -3460.8763496875763, 2, 10, 234, 11516, 36516, 6.462126731872559, 14.3323974609375
46, -3382.226322889328, 2, 14, 329, 11845, 36845, 6.544008255004883, 14.466033935546875
47, -2867.542984485626, 2, 8, 199, 12044, 37044, 6.246890544891357, 14.5209321975708
48, -3594.103350162506, 2, 13, 306, 12350, 37350, 6.379724979400635, 14.627979278564453
49, -2656.650092959404, 3, 9, 214, 12564, 37564, 6.34937858581543, 14.793330192565918
50, -2948.7295491695404, 2, 8, 192, 12756, 37756, 6.454450607299805, 14.860945701599121
51, -3401.951384782791, 2, 13, 299, 13055, 38055, 6.511664867401123, 14.959243774414062
52, -3037.082393169403, 2, 9, 206, 13261, 38261, 6.417067527770996, 15.131487846374512
53, -3181.9536390304565, 2, 13, 296, 13557, 38557, 6.518643856048584, 15.124423027038574
54, -2856.0286066532135, 2, -5, 200, 13757, 38757, 6.211175918579102, 15.255594253540039
55, -3043.2658274173737, 2, 13, 285, 14042, 39042, 6.208410263061523, 15.354554176330566
56, -3472.086930990219, 2, 14, 306, 14348, 39348, 6.589266777038574, 15.451103210449219
57, -3278.2574337124825, 2, 15, 323, 14671, 39671, 6.603743076324463, 15.549394607543945
58, -2934.8718957901, 2, 13, 281, 14952, 39952, 6.649957656860352, 15.642550468444824
59, -2586.6870546340942, 3, 8, 197, 15149, 40149, 6.268304824829102, 15.770785331726074
60, -3967.3003175258636, 2, 14, 341, 15490, 40490, 6.518496513366699, 15.846599578857422
61, -4834.815761089325, 2, 14, 330, 15820, 40820, 6.51918363571167, 16.000417709350586
62, -3771.3161115646362, 2, 19, 410, 16230, 41230, 6.356058120727539, 16.203683853149414
63, -2931.3872928619385, 2, 8, 182, 16412, 41412, 6.984919548034668, 16.404285430908203
64, -2752.644560813904, 3, 8, 210, 16622, 41622, 6.527816295623779, 16.504074096679688
65, -3287.1884899139404, 2, 11, 258, 16880, 41880, 6.390524387359619, 16.50063133239746
66, -3274.8121440410614, 2, 9, 218, 17098, 42098, 6.24045467376709, 16.583295822143555
67, -2961.538610458374, 2, 13, 316, 17414, 42414, 6.677028179168701, 16.72041130065918
68, 2379.133362829685, 1, 5, 104, 17518, 42518, 6.6754889488220215, 16.72935676574707
69, -2599.9306979179382, 3, 4, 107, 17625, 42625, 6.1893815994262695, 16.790054321289062
70, -2804.2241982221603, 2, 6, 151, 17776, 42776, 6.43441104888916, 16.787546157836914
71, -3395.6818747520447, 2, 10, 245, 18021, 43021, 6.703893661499023, 16.89234733581543
72, -4716.6100461483, 2, 10, 230, 18251, 43251, 6.698376655578613, 16.990686416625977
73, -2702.301164865494, 2, 9, 221, 18472, 43472, 6.850544452667236, 17.172571182250977
74, -2700.8432462215424, 2, 4, 125, 18597, 43597, 6.342323303222656, 17.139198303222656
75, -2617.4464049339294, 2, 5, 118, 18715, 43715, 7.175297737121582, 17.2523193359375
76, -2999.3531091213226, 2, 9, 213, 18928, 43928, 6.476099491119385, 17.23369598388672
77, -3649.083356618881, 2, 14, 331, 19259, 44259, 6.923192501068115, 17.470073699951172
78, -2437.263136446476, 2, 4, 114, 19373, 44373, 6.719024658203125, 17.51860237121582
79, -2600.6909918785095, 3, 8, 201, 19574, 44574, 6.9349141120910645, 17.610864639282227
80, -4330.76127409935, 2, 19, 462, 20036, 45036, 6.871450424194336, 17.73000144958496
81, -3081.6633474826813, 2, 5, 135, 20171, 45171, 6.463570594787598, 17.935901641845703
82, -3245.3997733592987, 2, 13, 303, 20474, 45474, 7.055665493011475, 17.97852897644043
83, -2525.856212377548, 2, 5, 128, 20602, 45602, 6.884174346923828, 18.086183547973633
84, -2938.65292263031, 2, 5, 142, 20744, 45744, 6.8529815673828125, 18.233993530273438
85, -2638.535578727722, 2, 5, 123, 20867, 45867, 6.7165679931640625, 18.075199127197266
86, -2596.3602912425995, 2, 5, 129, 20996, 45996, 6.459393501281738, 18.159832000732422
87, -2820.435567378998, 2, 3, 211, 21207, 46207, 6.749414443969727, 18.174800872802734
88, -4215.107918262482, 2, 16, 373, 21580, 46580, 7.266393184661865, 18.41019630432129
89, -2918.1175339221954, 2, 8, 199, 21779, 46779, 6.822877883911133, 18.58104133605957
90, -2982.969360589981, 3, 8, 206, 21985, 46985, 6.784313201904297, 18.552087783813477
91, -2535.90668964386, 2, 4, 110, 22095, 47095, 6.949752330780029, 18.807767868041992
92, -2709.201060295105, 3, 9, 197, 22292, 47292, 7.555424213409424, 18.716815948486328
93, -2664.4382169246674, 2, 4, 119, 22411, 47411, 7.265903949737549, 18.84986114501953
94, -2572.433355331421, 2, 5, 120, 22531, 47531, 7.439457416534424, 18.91351318359375
95, -2529.0313951969147, 2, 4, 101, 22632, 47632, 7.0490007400512695, 18.903579711914062
