episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
69, -4026.0444251298904, 2, -12, 215, 9054, 34054, 26.64617347717285, 76.01760864257812
70, -2250.8997440338135, 2, 6, 47, 9101, 34101, 25.677459716796875, 76.41810607910156
71, -3037.1651211977005, 2, -6, 158, 9259, 34259, 26.7580623626709, 75.456787109375
72, -2418.507084131241, 2, 0, 48, 9307, 34307, 24.81047821044922, 75.8216552734375
73, -3332.2347066402435, 3, 29, 230, 9537, 34537, 26.873735427856445, 77.36715698242188
74, -2517.3265805244446, 3, -29, 71, 9608, 34608, 25.990644454956055, 76.466552734375
75, -2703.7391583919525, 2, 0, 59, 9667, 34667, 27.845312118530273, 78.90850830078125
76, -2339.7465654611588, 3, 12, 97, 9764, 34764, 25.453418731689453, 77.8603286743164
77, -2771.1936457157135, 2, -5, 59, 9823, 34823, 25.97882652282715, 76.6043930053711
78, -2498.066898584366, 2, 3, 82, 9905, 34905, 26.86680030822754, 75.65414428710938
79, -2356.6773335933685, 2, -10, 78, 9983, 34983, 26.780704498291016, 75.36392974853516
80, -3949.516122341156, 2, 12, 96, 10079, 35079, 27.760194778442383, 81.1316909790039
81, -3086.0538699626923, 2, -12, 159, 10238, 35238, 27.356082916259766, 82.01602172851562
82, -2570.409289121628, 3, 22, 177, 10415, 35415, 26.97244644165039, 80.91243743896484
83, -3965.424228668213, 2, -22, 110, 10525, 35525, 26.749408721923828, 83.14250946044922
84, -3228.8992068767548, 2, 0, 79, 10604, 35604, 25.461795806884766, 80.98016357421875
85, -2320.616822242737, 2, 0, 44, 10648, 35648, 27.55901336669922, 85.0788345336914
86, -4221.248401880264, 2, 0, 290, 10938, 35938, 27.025373458862305, 82.40258026123047
87, -3734.9435745477676, 2, 0, 301, 11239, 36239, 27.497446060180664, 87.1453628540039
88, -2398.050768136978, 3, 0, 100, 11339, 36339, 26.20233917236328, 84.1231460571289
89, -2268.0452620983124, 2, 5, 44, 11383, 36383, 26.80413246154785, 86.68972778320312
90, -2387.433462381363, 3, 6, 89, 11472, 36472, 27.751541137695312, 86.36408996582031
91, -2291.561049580574, 2, -11, 77, 11549, 36549, 25.623577117919922, 83.3620834350586
92, -3291.1727471351624, 2, 27, 217, 11766, 36766, 26.69287109375, 85.59598541259766
93, -2312.2402980327606, 2, -27, 76, 11842, 36842, 27.308231353759766, 83.06262969970703
94, -4976.798246979713, 2, 0, 364, 12206, 37206, 26.43597412109375, 87.68968200683594
95, -3738.9483428001404, 2, 0, 95, 12301, 37301, 27.522829055786133, 90.59532165527344
96, -2333.24152803421, 3, 7, 58, 12359, 37359, 27.306087493896484, 90.5612564086914
97, -2677.6949717998505, 2, 4, 88, 12447, 37447, 27.774999618530273, 88.818115234375
98, -2307.1087832450867, 2, -11, 54, 12501, 37501, 26.419240951538086, 92.14911651611328
99, -2425.2932493686676, 2, 0, 102, 12603, 37603, 26.746450424194336, 87.7005386352539
100, 2235.059552490711, 1, 19, 152, 12755, 37755, 27.749116897583008, 90.0070571899414
101, -2216.9737577438354, 2, -19, 33, 12788, 37788, 26.904726028442383, 91.44126892089844
102, -3435.6140229701996, 2, 0, 147, 12935, 37935, 28.084592819213867, 90.02193450927734
103, -3558.3688611984253, 2, 0, 397, 13332, 38332, 26.765268325805664, 88.45097351074219
104, -2942.7097311019897, 2, 0, 68, 13400, 38400, 26.768573760986328, 88.56796264648438
105, -2436.1585055589676, 2, 11, 86, 13486, 38486, 27.14636993408203, 89.53307342529297
106, -2457.0723637342453, 2, -11, 90, 13576, 38576, 26.504547119140625, 89.27096557617188
107, -3416.687190413475, 3, 30, 238, 13814, 38814, 26.899822235107422, 90.44441986083984
108, -5816.792369842529, 2, -30, 333, 14147, 39147, 26.8454647064209, 91.01216125488281
109, -2838.9946702718735, 2, 0, 191, 14338, 39338, 26.455184936523438, 93.01142883300781
110, -2246.5977087020874, 2, 5, 40, 14378, 39378, 27.895925521850586, 91.21125793457031
111, -3676.3982622623444, 3, -5, 373, 14751, 39751, 26.293636322021484, 90.35130310058594
112, -2826.0605078935623, 3, 9, 71, 14822, 39822, 27.003074645996094, 90.54607391357422
113, -2303.080662727356, 2, -4, 46, 14868, 39868, 26.85580825805664, 90.51538848876953
114, -3857.8877329826355, 2, -5, 180, 15048, 40048, 26.854717254638672, 90.90953826904297
115, 664.1462317705154, 1, 39, 311, 15359, 40359, 26.857192993164062, 92.73104095458984
116, -3865.6198760271072, 3, -39, 284, 15643, 40643, 27.287994384765625, 94.27305603027344
117, -2276.321704149246, 2, 0, 49, 15692, 40692, 28.29322624206543, 92.51644897460938
118, -2506.6119331121445, 2, 0, 63, 15755, 40755, 28.047956466674805, 96.25758361816406
119, -2349.6556129455566, 2, 6, 48, 15803, 40803, 29.702951431274414, 94.41893768310547
120, -2848.93734395504, 2, -6, 117, 15920, 40920, 28.118452072143555, 97.23983001708984
121, -2294.321259021759, 2, 0, 49, 15969, 40969, 28.13791275024414, 95.9641342163086
122, -3118.718324482441, 3, 0, 158, 16127, 41127, 27.110136032104492, 95.44557189941406
123, -2267.44300365448, 3, 8, 63, 16190, 41190, 28.1842041015625, 95.06974792480469
124, -2821.1695399284363, 2, -8, 106, 16296, 41296, 26.734994888305664, 92.8607406616211
125, -2244.8647302389145, 2, 0, 52, 16348, 41348, 27.628795623779297, 93.91170501708984
126, -3094.1657903194427, 2, 0, 158, 16506, 41506, 29.015111923217773, 94.84074401855469
127, 2223.0799908638, 1, 20, 161, 16667, 41667, 29.024707794189453, 94.20397186279297
128, -2977.458990931511, 2, -20, 132, 16799, 41799, 27.300447463989258, 96.95407104492188
129, -2457.7391073703766, 2, 6, 51, 16850, 41850, 27.667442321777344, 92.55806732177734
130, -2437.7495591640472, 2, -6, 75, 16925, 41925, 30.008867263793945, 95.58666229248047
131, 2444.8406289815903, 1, 5, 38, 16963, 41963, 27.824134826660156, 96.10089111328125
132, -2457.249612092972, 2, 6, 48, 17011, 42011, 27.43494987487793, 94.88886260986328
