episode, reward, success, duration, n_steps, memory length, avg_critic_loss, avg_actor_loss
137, 2358.8212015628815, 1, 3.8095316886901855, 69, 37573, 6.902706146240234, 3871.0673828125
138, -2335.333887577057, 3, 2.319507360458374, 43, 37611, 7.109212398529053, 3651.25390625
139, 2344.5337551534176, 1, 5.708409309387207, 100, 37706, 7.971424102783203, 3995.330078125
140, 1660.3836757540703, 1, 16.567838430404663, 283, 37984, 7.489031791687012, 4153.55224609375
141, -2110.5221252441406, 3, 0.04836606979370117, 4, 37984, 0.0, 0.0
142, -2995.165879011154, 3, 19.576054096221924, 339, 38318, 7.79332971572876, 4149.24560546875
143, -3113.0950441360474, 3, 12.87024712562561, 221, 38534, 8.26468276977539, 4158.8115234375
144, 1846.395445227623, 1, 14.289131879806519, 247, 38776, 7.304229736328125, 4150.90185546875
145, -4189.0982402563095, 2, 19.258808374404907, 331, 39102, 8.33309268951416, 4258.013671875
146, -2693.3656716942787, 3, 13.030208349227905, 225, 39322, 7.601447582244873, 4232.267578125
147, -2686.3495964705944, 3, 14.707664966583252, 257, 39574, 8.176222801208496, 4268.7353515625
148, -5716.264037966728, 2, 40.69581723213196, 692, 40261, 8.047120094299316, 4392.9091796875
149, -2305.558599591255, 3, 10.506426572799683, 180, 40436, 8.318748474121094, 4349.41162109375
150, 1861.3853143453598, 1, 14.00293231010437, 241, 40672, 8.513972282409668, 4427.77978515625
151, 1950.032781779766, 1, 9.21364688873291, 160, 40827, 8.395429611206055, 4317.767578125
152, -3590.95135563612, 3, 32.43070721626282, 558, 41380, 9.032539367675781, 4496.263671875
153, 2289.661683231592, 1, 8.138976812362671, 143, 41518, 6.935095310211182, 4337.416015625
154, -3140.38152384758, 2, 8.158406972885132, 140, 41653, 8.182475090026855, 4414.14599609375
155, 2361.878895819187, 1, 5.915842294692993, 105, 41753, 7.4991278648376465, 4472.31591796875
156, -3001.3633987903595, 2, 7.819209575653076, 134, 41882, 8.037750244140625, 4480.94482421875
157, 2354.2094984054565, 1, 5.633639097213745, 96, 41973, 10.110798835754395, 4399.16357421875
158, -2249.652935028076, 3, 0.970379114151001, 20, 41988, 5.896080017089844, 3441.974609375
159, 2212.047770023346, 1, 9.28056263923645, 161, 42144, 7.35999059677124, 4549.36328125
160, -2253.0373249053955, 3, 0.4580354690551758, 12, 42151, 7.942549228668213, 2817.481689453125
161, 2195.2876400351524, 1, 8.771606922149658, 153, 42299, 7.713575839996338, 4539.69140625
162, 1953.605717241764, 1, 13.750012874603271, 237, 42531, 8.285798072814941, 4505.77734375
163, 1831.4549903273582, 1, 19.775784254074097, 337, 42863, 8.758992195129395, 4586.4072265625
164, -6950.029080688953, 2, 50.44893145561218, 862, 43720, 8.390247344970703, 4634.884765625
165, -1088.7732142806053, 1, 44.62276864051819, 759, 44474, 8.146674156188965, 4779.3720703125
166, -2721.559916973114, 2, 5.747359991073608, 102, 44571, 6.573184967041016, 4529.28271484375
167, 1750.86959284544, 1, 18.16125798225403, 309, 44875, 8.047342300415039, 4767.35107421875
168, 1800.1261003613472, 1, 19.83304476737976, 341, 45211, 8.265891075134277, 4852.455078125
169, 2002.7390604019165, 1, 16.342333555221558, 281, 45487, 8.105583190917969, 4828.4111328125
170, -2497.117886543274, 3, 6.65715479850769, 116, 45598, 8.632647514343262, 4764.46728515625
171, -1338.0334875583649, 1, 42.935380697250366, 729, 46322, 9.081233978271484, 4939.970703125
172, 2078.6888430714607, 1, 14.97020959854126, 256, 46573, 8.810440063476562, 4887.23583984375
173, -2747.0777068138123, 2, 5.707392692565918, 102, 46670, 9.040205001831055, 4762.841796875
174, 2069.116591155529, 1, 10.033002614974976, 173, 46838, 8.692880630493164, 4882.72705078125
175, -3265.1558582782745, 3, 12.712196826934814, 221, 47054, 7.809637546539307, 4902.0263671875
176, -4514.51602268219, 2, 26.7683322429657, 458, 47507, 8.750490188598633, 5012.7685546875
177, 2396.1739844083786, 1, 2.7143094539642334, 49, 47551, 8.022163391113281, 4597.53466796875
178, -3520.0888419151306, 2, 15.7416410446167, 269, 47815, 8.557476043701172, 5049.73095703125
179, 2397.736228108406, 1, 4.290534019470215, 77, 47887, 8.485532760620117, 4809.755859375
180, 1761.9801989793777, 1, 16.839303731918335, 291, 48173, 8.668858528137207, 5110.748046875
181, -4409.26556968689, 2, 19.888418436050415, 340, 48508, 7.068181991577148, 5062.16162109375
182, 2313.5961025357246, 1, 3.9414610862731934, 71, 48574, 7.789681434631348, 4802.0615234375
183, 1757.5934019684792, 1, 19.43305206298828, 336, 48905, 8.988814353942871, 5089.7509765625
184, -2291.5013366937637, 1, 71.14445567131042, 1207, 50107, 8.265135765075684, 5241.7958984375
185, 2256.086957246065, 1, 10.872050046920776, 186, 50288, 8.739265441894531, 5167.74609375
186, -2399.0157552957535, 3, 6.463685989379883, 111, 50394, 7.787415027618408, 5079.12890625
187, 1940.3812631368637, 1, 11.60586428642273, 197, 50586, 9.532754898071289, 5179.28515625
188, -2535.0082502365112, 3, 6.663444519042969, 115, 50696, 8.712333679199219, 5180.8798828125
189, 2354.9019805192947, 1, 4.204971551895142, 75, 50766, 7.634362697601318, 4878.10205078125
190, -2766.8014783859253, 2, 15.172900915145874, 254, 51015, 9.83173656463623, 5278.8818359375
191, -3863.105374276638, 2, 18.436256170272827, 313, 51323, 7.5448899269104, 5305.8828125
192, 2167.0706982016563, 1, 9.106572389602661, 156, 51474, 7.809379577636719, 5244.78955078125
193, -7297.4665023088455, 2, 31.3372905254364, 529, 51998, 8.157217979431152, 5393.21337890625
194, 2091.7517446279526, 1, 7.861586809158325, 135, 52128, 9.248842239379883, 5367.15771484375
195, -2667.859654188156, 3, 6.785948991775513, 117, 52240, 7.435525417327881, 5265.58154296875
196, 2326.456997066736, 1, 6.13661527633667, 107, 52342, 9.65463638305664, 5382.81884765625
197, 2043.1328974366188, 1, 15.149633169174194, 256, 52593, 8.99221420288086, 5464.71142578125
198, -2610.4082144498825, 3, 12.145498752593994, 209, 52797, 8.501930236816406, 5407.26025390625
199, 1930.609250664711, 1, 13.0453941822052, 222, 53014, 9.123720169067383, 5417.193359375
